Rank,Name,Country,Team Code,Age,ResultTime,Stage,Timegap1,Gap,Team
66,Angel MADRAZO RUIZ,Spain,CJR,27,+1:12:30,12,+1:12:30,+1:12:30,CAJA RURAL-SEGUROS RGA
67,Jerome COUSIN,France,EUC,26,+1:13:03,12,+1:13:03,+1:13:03,TEAM EUROPCAR
68,Amaël MOINARD,France,BMC,33,+1:15:03,12,+1:15:03,+1:15:03,BMC RACING TEAM
69,Pavel KOCHETKOV,Russia,KAT,29,+1:15:55,12,+1:15:55,+1:15:55,TEAM KATUSHA
70,Koen DE KORT,Netherlands,TGA,33,+1:16:32,12,+1:16:32,+1:16:32,TEAM GIANT - ALPECIN
71,Cyril GAUTIER,France,EUC,28,+1:17:30,12,+1:17:30,+1:17:30,TEAM EUROPCAR
72,Benjamin KING,United States,TCG,26,+1:18:04,12,+1:18:04,+1:18:04,TEAM CANNONDALE - GARMIN
73,Miguel Angel RUBIANO CHAVEZ,Colombia,COL,31,+1:18:45,12,+1:18:45,+1:18:45,COLOMBIA
74,Yukiya ARASHIRO,Japan,EUC,31,+1:18:49,12,+1:18:49,+1:18:49,TEAM EUROPCAR
75,Jelle VANENDERT,Belgium,LTS,30,+1:21:28,12,+1:21:28,+1:21:28,LOTTO SOUDAL
76,Andrew TALANSKY,United States,TCG,27,+1:22:41,12,+1:22:41,+1:22:41,TEAM CANNONDALE - GARMIN
77,Kristijan DURASEK,Croatia,LAM,28,+1:22:44,12,+1:22:44,+1:22:44,LAMPRE - MERIDA
78,Fabio Andres DUARTE AREVALO,Colombia,COL,29,+1:23:43,12,+1:23:43,+1:23:43,COLOMBIA
79,Ian BOSWELL,United States,SKY,24,+1:24:58,12,+1:24:58,+1:24:58,TEAM SKY
80,Vicente REYNES MIMO,Spain,IAM,34,+1:25:03,12,+1:25:03,+1:25:03,IAM CYCLING
81,Javier MORENO BAZAN,Spain,MOV,31,+1:26:45,12,+1:26:45,+1:26:45,MOVISTAR TEAM
82,Juan Pablo VALENCIA,Colombia,COL,27,+1:27:01,12,+1:27:01,+1:27:01,COLOMBIA
83,Cameron MEYER,Australia,OGE,27,+1:29:13,12,+1:29:13,+1:29:13,ORICA GREENEDGE
84,Salvatore PUCCIO,Italy,SKY,26,+1:29:34,12,+1:29:34,+1:29:34,TEAM SKY
85,Dario CATALDO,Italy,AST,30,+1:29:45,12,+1:29:45,+1:29:45,ASTANA PRO TEAM
86,Omar FRAILE MATARRANZ,Spain,CJR,25,+1:30:45,12,+1:30:45,+1:30:45,CAJA RURAL-SEGUROS RGA
87,Vasil KIRYIENKA,Belarus,SKY,34,+1:30:47,12,+1:30:47,+1:30:47,TEAM SKY
88,Rinaldo NOCENTINI,Italy,ALM,38,+1:30:48,12,+1:30:48,+1:30:48,AG2R LA MONDIALE
89,Daryl IMPEY,South Africa,OGE,31,+1:32:07,12,+1:32:07,+1:32:07,ORICA GREENEDGE
90,Kristian SBARAGLI,Italy,MTN,25,+1:32:30,12,+1:32:30,+1:32:30,MTN - QHUBEKA
91,Jens KEUKELEIRE,Belgium,OGE,27,+1:32:34,12,+1:32:34,+1:32:34,ORICA GREENEDGE
92,Mattia CATTANEO,Italy,LAM,25,+1:32:46,12,+1:32:46,+1:32:46,LAMPRE - MERIDA
