Rank,Name,Country,Team Code,Age,ResultTime,Stage,Timegap1,Gap,Team
116,Arnaud COURTEILLE,France,FDJ,26,+52:56,5,+52:56,+52:56,FDJ
117,Giacomo NIZZOLO,Italy,TFR,26,+53:25,5,+53:25,+53:25,TREK FACTORY RACING
118,Daniele COLLI,Italy,NIP,33,+53:53,5,+53:53,+53:53,NIPPO - VINI FANTINI
119,Davide APPOLLONIO,Italy,AND,26,+53:59,5,+53:59,+53:59,ANDRONI GIOCATTOLI - SIDERMEC
120,Giacomo BERLATO,Italy,NIP,23,+54:00,5,+54:00,+54:00,NIPPO - VINI FANTINI
121,Janier Alexis ACEVEDO COLLE,Colombia,TCG,30,+54:02,5,+54:02,+54:02,TEAM CANNONDALE - GARMIN
122,Serghei TVETCOV,Romania,AND,27,+54:19,5,+54:19,+54:19,ANDRONI GIOCATTOLI - SIDERMEC
123,Murilo Antonio FISCHER,Brazil,FDJ,36,+54:31,5,+54:31,+54:31,FDJ
124,Christopher JUUL JENSEN,Denmark,TCS,26,+54:48,5,+54:48,+54:48,TINKOFF - SAXO
125,Tom BOONEN,Belgium,EQS,35,+55:11,5,+55:11,+55:11,ETIXX - QUICK STEP
126,Moreno HOFLAND,Netherlands,TLJ,24,+55:22,5,+55:22,+55:22,TEAM LOTTO NL - JUMBO
127,Hugo HOULE,Canada,ALM,25,+55:29,5,+55:29,+55:29,AG2R LA MONDIALE
128,Anthony ROUX,France,FDJ,28,+55:44,5,+55:44,+55:44,FDJ
129,Lukasz OWSIAN,Poland,CCC,25,+55:47,5,+55:47,+55:47,CCC SPRANDI POLKOWICE
130,Luke DURBRIDGE,Australia,OGE,24,+55:56,5,+55:56,+55:56,ORICA GREENEDGE
131,Nikolay MIHAYLOV,Bulgaria,CCC,27,+56:01,5,+56:01,+56:01,CCC SPRANDI POLKOWICE
132,Alan MARANGONI,Italy,TCG,31,+56:06,5,+56:06,+56:06,TEAM CANNONDALE - GARMIN
133,André GREIPEL,Germany,LTS,33,+56:32,5,+56:32,+56:32,LOTTO SOUDAL
134,Nick VAN DER LIJKE,Netherlands,TLJ,24,+57:01,5,+57:01,+57:01,TEAM LOTTO NL - JUMBO
135,Maarten TJALLINGII,Netherlands,TLJ,38,+57:02,5,+57:02,+57:02,TEAM LOTTO NL - JUMBO
136,Sam BEWLEY,New Zealand,OGE,28,+57:07,5,+57:07,+57:07,ORICA GREENEDGE
137,Cédric PINEAU,France,FDJ,30,+57:09,5,+57:09,+57:09,FDJ
138,Brett LANCASTER,Australia,OGE,36,+57:38,5,+57:38,+57:38,ORICA GREENEDGE
139,Eugenio ALAFACI,Italy,TFR,25,+57:44,5,+57:44,+57:44,TREK FACTORY RACING
140,Maxim BELKOV,Russia,KAT,30,+57:55,5,+57:55,+57:55,TEAM KATUSHA
141,Juan Jose LOBATO DEL VALLE,Spain,MOV,27,+58:00,5,+58:00,+58:00,MOVISTAR TEAM
142,Maximiliano Ariel RICHEZE,Argentina,LAM,32,+58:01,5,+58:01,+58:01,LAMPRE - MERIDA
143,Louis VERVAEKE,Belgium,LTS,22,+58:16,5,+58:16,+58:16,LOTTO SOUDAL
144,Caleb FAIRLY,United States,TGA,28,+58:33,5,+58:33,+58:33,TEAM GIANT - ALPECIN
145,Marek RUTKIEWICZ,Poland,CCC,34,+58:48,5,+58:48,+58:48,CCC SPRANDI POLKOWICE
146,Marco FRAPPORTI,Italy,AND,30,+59:04,5,+59:04,+59:04,ANDRONI GIOCATTOLI - SIDERMEC
147,Matteo BUSATO,Italy,STH,28,+59:30,5,+59:30,+59:30,SOUTHEAST
148,Petr VAKOC,Czech Republic,EQS,23,+59:37,5,+59:37,+59:37,ETIXX - QUICK STEP
149,Bernhard EISEL,Austria,SKY,34,+59:51,5,+59:51,+59:51,TEAM SKY
150,Lars Ytting BAK,Denmark,LTS,35,+59:52,5,+59:52,+59:52,LOTTO SOUDAL
151,Alexander PORSEV,Russia,KAT,29,+1:00:13,5,+1:00:13,+1:00:13,TEAM KATUSHA
152,Calvin WATSON,Australia,TFR,22,+1:00:23,5,+1:00:23,+1:00:23,TREK FACTORY RACING
153,Bertjan LINDEMAN,Netherlands,TLJ,26,+1:00:32,5,+1:00:32,+1:00:32,TEAM LOTTO NL - JUMBO
154,Jaroslaw MARYCZ,Poland,CCC,28,+1:00:46,5,+1:00:46,+1:00:46,CCC SPRANDI POLKOWICE
155,Julien BERARD,France,ALM,28,+1:01:01,5,+1:01:01,+1:01:01,AG2R LA MONDIALE
156,Davide MALACARNE,Italy,AST,28,+1:01:17,5,+1:01:17,+1:01:17,ASTANA PRO TEAM
157,Greg HENDERSON,New Zealand,LTS,39,+1:01:36,5,+1:01:36,+1:01:36,LOTTO SOUDAL
158,Nicola RUFFONI,Italy,BAR,25,+1:01:38,5,+1:01:38,+1:01:38,BARDIANI CSF
159,Bartlomiej MATYSIAK,Poland,CCC,31,+1:01:46,5,+1:01:46,+1:01:46,CCC SPRANDI POLKOWICE
160,Luka MEZGEC,Slovenia,TGA,27,+1:01:50,5,+1:01:50,+1:01:50,TEAM GIANT - ALPECIN
161,Stig BROECKX,Belgium,LTS,25,+1:01:51,5,+1:01:51,+1:01:51,LOTTO SOUDAL
162,Fabio SILVESTRE,Portugal,TFR,25,+1:01:57,5,+1:01:57,+1:01:57,TREK FACTORY RACING
163,Roberto FERRARI,Italy,LAM,32,+1:02:09,5,+1:02:09,+1:02:09,LAMPRE - MERIDA
164,Boy VAN POPPEL,Netherlands,TFR,27,+1:02:16,5,+1:02:16,+1:02:16,TREK FACTORY RACING
165,Jérôme PINEAU,France,IAM,35,+1:02:28,5,+1:02:28,+1:02:28,IAM CYCLING
166,Nikias ARNDT,Germany,TGA,24,+1:02:29,5,+1:02:29,+1:02:29,TEAM GIANT - ALPECIN
167,Gang XU,China,LAM,31,+1:02:33,5,+1:02:33,+1:02:33,LAMPRE - MERIDA
168,Rick ZABEL,Germany,BMC,22,+1:02:35,5,+1:02:35,+1:02:35,BMC RACING TEAM
169,Kévin REZA,France,FDJ,27,+1:03:13,5,+1:03:13,+1:03:13,FDJ
170,Marco BANDIERA,Italy,AND,31,+1:04:23,5,+1:04:23,+1:04:23,ANDRONI GIOCATTOLI - SIDERMEC
171,Sacha MODOLO,Italy,LAM,28,+1:04:47,5,+1:04:47,+1:04:47,LAMPRE - MERIDA
172,Rick FLENS,Netherlands,TLJ,32,+1:05:05,5,+1:05:05,+1:05:05,TEAM LOTTO NL - JUMBO
173,Cheng JI,China,TGA,28,+1:05:09,5,+1:05:09,+1:05:09,TEAM GIANT - ALPECIN
174,Alessandro MALAGUTI,Italy,NIP,28,+1:05:13,5,+1:05:13,+1:05:13,NIPPO - VINI FANTINI
175,Riccardo STACCHIOTTI,Italy,NIP,24,+1:05:13,5,+1:05:13,+1:05:13,NIPPO - VINI FANTINI
176,Iljo KEISSE,Belgium,EQS,33,+1:06:29,5,+1:06:29,+1:06:29,ETIXX - QUICK STEP
177,Oscar GATTO,Italy,AND,30,+1:06:37,5,+1:06:37,+1:06:37,ANDRONI GIOCATTOLI - SIDERMEC
178,Tom STAMSNIJDER,Netherlands,TGA,30,+1:06:46,5,+1:06:46,+1:06:46,TEAM GIANT - ALPECIN
179,Bert DE BACKER,Belgium,TGA,31,+1:06:54,5,+1:06:54,+1:06:54,TEAM GIANT - ALPECIN
180,Sergei CHERNETSKI,Russia,KAT,25,+1:07:47,5,+1:07:47,+1:07:47,TEAM KATUSHA
181,Eugert ZHUPA,Albania,STH,25,+1:08:10,5,+1:08:10,+1:08:10,SOUTHEAST
182,Eduard Michael GROSU,Romania,NIP,23,+1:08:39,5,+1:08:39,+1:08:39,NIPPO - VINI FANTINI
183,Jussi VEIKKANEN,Finland,FDJ,34,+1:12:47,5,+1:12:47,+1:12:47,FDJ
184,Nicola BOEM,Italy,BAR,26,+1:12:58,5,+1:12:58,+1:12:58,BARDIANI CSF
185,Michael HEPBURN,Australia,OGE,24,+1:13:40,5,+1:13:40,+1:13:40,ORICA GREENEDGE
186,Roger KLUGE,Germany,IAM,29,+1:15:38,5,+1:15:38,+1:15:38,IAM CYCLING
187,Marco COLEDAN,Italy,TFR,27,+1:24:02,5,+1:24:02,+1:24:02,TREK FACTORY RACING
188,Manabu ISHIBASHI,Japan,NIP,23,+1:24:47,5,+1:24:47,+1:24:47,NIPPO - VINI FANTINI
189,Aleksejs SARAMOTINS,Latvia,IAM,33,+1:25:03,5,+1:25:03,+1:25:03,IAM CYCLING
190,Matteo PELUCCHI,Italy,IAM,26,+1:27:23,5,+1:27:23,+1:27:23,IAM CYCLING
1,Alberto CONTADOR VELASCO,Spain,TCS,33,20:25:36,6,+0.851111111111111,+0,TINKOFF - SAXO
2,Fabio ARU,Italy,AST,25,2,6,+2,+2,ASTANA PRO TEAM
3,Richie PORTE,Australia,SKY,30,20,6,+20,+20,TEAM SKY
4,Roman KREUZIGER,Czech Republic,TCS,29,22,6,+22,+22,TINKOFF - SAXO
5,Dario CATALDO,Italy,AST,30,28,6,+28,+28,ASTANA PRO TEAM
6,Jhoan Esteban CHAVES RUBIO,Colombia,OGE,25,37,6,+37,+37,ORICA GREENEDGE
7,Giovanni VISCONTI,Italy,MOV,32,56,6,+56,+56,MOVISTAR TEAM
8,Mikel LANDA MEANA,Spain,AST,26,+1:01,6,+1:01,+1:01,ASTANA PRO TEAM
9,Davide FORMOLO,Italy,TCG,23,+1:15,6,+1:15,+1:15,TEAM CANNONDALE - GARMIN
10,Andrey AMADOR BAKKAZAKOVA,Costa Rica,MOV,29,+1:18,6,+1:18,+1:18,MOVISTAR TEAM
11,Damiano CARUSO,Italy,BMC,28,+1:22,6,+1:22,+1:22,BMC RACING TEAM
12,Rigoberto URAN URAN,Colombia,EQS,28,+1:22,6,+1:22,+1:22,ETIXX - QUICK STEP
13,Yury TROFIMOV,Russia,KAT,31,+1:24,6,+1:24,+1:24,TEAM KATUSHA
14,Leopold KONIG,Czech Republic,SKY,28,+1:24,6,+1:24,+1:24,TEAM SKY
15,Amaël MOINARD,France,BMC,33,+1:46,6,+1:46,+1:46,BMC RACING TEAM
16,Darwin ATAPUMA HURTADO,Colombia,BMC,27,+1:49,6,+1:49,+1:49,BMC RACING TEAM
17,Damiano CUNEGO,Italy,NIP,34,+2:12,6,+2:12,+2:12,NIPPO - VINI FANTINI
18,Simon CLARKE,Australia,OGE,29,+2:21,6,+2:21,+2:21,ORICA GREENEDGE
19,Jurgen VAN DEN BROECK,Belgium,LTS,32,+2:27,6,+2:27,+2:27,LOTTO SOUDAL
20,Alexandre GENIEZ,France,FDJ,27,+2:33,6,+2:33,+2:33,FDJ
21,Maxime MONFORT,Belgium,LTS,32,+2:36,6,+2:36,+2:36,LOTTO SOUDAL
22,Kanstantsin SIUTSOU,Belarus,SKY,33,+2:42,6,+2:42,+2:42,TEAM SKY
23,Jonathan MONSALVE,Venezuela,STH,26,+3:02,6,+3:02,+3:02,SOUTHEAST
24,Diego ROSA,Italy,AST,26,+3:31,6,+3:31,+3:31,ASTANA PRO TEAM
25,Michael ROGERS,Australia,TCS,36,+4:44,6,+4:44,+4:44,TINKOFF - SAXO
26,Paolo TIRALONGO,Italy,AST,38,+4:46,6,+4:46,+4:46,ASTANA PRO TEAM
27,Jon IZAGUIRRE INSAUSTI,Spain,MOV,26,+4:49,6,+4:49,+4:49,MOVISTAR TEAM
28,Przemyslaw NIEMIEC,Poland,LAM,35,+5:10,6,+5:10,+5:10,LAMPRE - MERIDA
29,Mikel NIEVE ITURALDE,Spain,SKY,31,+6:01,6,+6:01,+6:01,TEAM SKY
30,Ryder HESJEDAL,Canada,TCG,35,+6:11,6,+6:11,+6:11,TEAM CANNONDALE - GARMIN
31,Steven KRUIJSWIJK,Netherlands,TLJ,28,+9:54,6,+9:54,+9:54,TEAM LOTTO NL - JUMBO
32,Tanel KANGERT,Estonia,AST,28,+9:57,6,+9:57,+9:57,ASTANA PRO TEAM
33,Andrey ZEITS,Kazakhstan,AST,29,+12:30,6,+12:30,+12:30,ASTANA PRO TEAM
34,Igor ANTON HERNANDEZ,Spain,MOV,32,+14:52,6,+14:52,+14:52,MOVISTAR TEAM
35,Sébastien REICHENBACH,Switzerland,IAM,26,+15:04,6,+15:04,+15:04,IAM CYCLING
36,Carlos Alberto BETANCUR GOMEZ,Colombia,ALM,26,+15:06,6,+15:06,+15:06,AG2R LA MONDIALE
37,Stefano PIRAZZI,Italy,BAR,28,+15:29,6,+15:29,+15:29,BARDIANI CSF
38,Francesco Manuel BONGIORNO,Italy,BAR,25,+15:45,6,+15:45,+15:45,BARDIANI CSF
39,Andre Fernando S. Martins CARDOSO,Portugal,TCG,31,+16:01,6,+16:01,+16:01,TEAM CANNONDALE - GARMIN
40,Jan POLANC,Slovenia,LAM,23,+17:18,6,+17:18,+17:18,LAMPRE - MERIDA
41,Stef CLEMENT,Netherlands,IAM,33,+18:18,6,+18:18,+18:18,IAM CYCLING
42,Tsgabu Gebremaryam GRMAY,Ethiopia,LAM,24,+18:24,6,+18:24,+18:24,LAMPRE - MERIDA
43,Matteo MONTAGUTI,Italy,ALM,31,+19:00,6,+19:00,+19:00,AG2R LA MONDIALE
44,Fabio FELLINE,Italy,TFR,25,+20:03,6,+20:03,+20:03,TREK FACTORY RACING
45,Luis Leon SANCHEZ GIL,Spain,AST,32,+21:04,6,+21:04,+21:04,ASTANA PRO TEAM
46,Diego ULISSI,Italy,LAM,26,+21:43,6,+21:43,+21:43,LAMPRE - MERIDA
47,Benat INTXAUSTI ELORRIAGA,Spain,MOV,29,+22:28,6,+22:28,+22:28,MOVISTAR TEAM
48,Jesus HERRADA LOPEZ,Spain,MOV,25,+22:33,6,+22:33,+22:33,MOVISTAR TEAM
49,Franco PELLIZOTTI,Italy,AND,37,+22:45,6,+22:45,+22:45,ANDRONI GIOCATTOLI - SIDERMEC
50,Maxime BOUET,France,EQS,29,+22:54,6,+22:54,+22:54,ETIXX - QUICK STEP
51,Philippe GILBERT,Belgium,BMC,33,+23:30,6,+23:30,+23:30,BMC RACING TEAM
52,Kenny ELISSONDE,France,FDJ,24,+23:53,6,+23:53,+23:53,FDJ
53,Pavel KOCHETKOV,Russia,KAT,29,+24:09,6,+24:09,+24:09,TEAM KATUSHA
54,Francesco GAVAZZI,Italy,STH,31,+24:18,6,+24:18,+24:18,SOUTHEAST
55,Ivan BASSO,Italy,TCS,38,+24:22,6,+24:22,+24:22,TINKOFF - SAXO
56,Simone STORTONI,Italy,AND,30,+25:11,6,+25:11,+25:11,ANDRONI GIOCATTOLI - SIDERMEC
57,Sergey LAGUTIN,Russia,KAT,34,+25:23,6,+25:23,+25:23,TEAM KATUSHA
58,Ilnur ZAKARIN,Russia,KAT,26,+25:26,6,+25:26,+25:26,TEAM KATUSHA
59,Silvan DILLIER,Switzerland,BMC,25,+25:47,6,+25:47,+25:47,BMC RACING TEAM
60,Mauro FINETTO,Italy,STH,30,+26:36,6,+26:36,+26:36,SOUTHEAST
61,Edoardo ZARDINI,Italy,BAR,26,+27:20,6,+27:20,+27:20,BARDIANI CSF
62,Sylwester SZMYD,Poland,CCC,37,+27:30,6,+27:30,+27:30,CCC SPRANDI POLKOWICE
63,Francis MOUREY,France,FDJ,35,+28:02,6,+28:02,+28:02,FDJ
64,Simon GERRANS,Australia,OGE,35,+28:23,6,+28:23,+28:23,ORICA GREENEDGE
65,David DE LA CRUZ MELGAREJO,Spain,EQS,26,+28:37,6,+28:37,+28:37,ETIXX - QUICK STEP
66,Branislau SAMOILAU,Belarus,CCC,30,+29:44,6,+29:44,+29:44,CCC SPRANDI POLKOWICE
67,Ruben FERNANDEZ,Spain,MOV,24,+31:01,6,+31:01,+31:01,MOVISTAR TEAM
68,Sebastian HENAO GOMEZ,Colombia,SKY,22,+31:03,6,+31:03,+31:03,TEAM SKY
69,Brent BOOKWALTER,United States,BMC,31,+31:27,6,+31:27,+31:27,BMC RACING TEAM
70,Martijn KEIZER,Netherlands,TLJ,27,+31:30,6,+31:30,+31:30,TEAM LOTTO NL - JUMBO
71,Enrico BATTAGLIN,Italy,BAR,26,+31:39,6,+31:39,+31:39,BARDIANI CSF
72,Adam HANSEN,Australia,LTS,34,+32:58,6,+32:58,+32:58,LOTTO SOUDAL
73,Nathan BROWN,United States,TCG,24,+33:32,6,+33:32,+33:32,TEAM CANNONDALE - GARMIN
74,Clement CHEVRIER,France,IAM,23,+33:41,6,+33:41,+33:41,IAM CYCLING
75,Salvatore PUCCIO,Italy,SKY,26,+35:43,6,+35:43,+35:43,TEAM SKY
76,Gianfranco ZILIOLI,Italy,AND,25,+36:04,6,+36:04,+36:04,ANDRONI GIOCATTOLI - SIDERMEC
77,Manuele BOARO,Italy,TCS,28,+36:31,6,+36:31,+36:31,TINKOFF - SAXO
78,Maciej PATERSKI,Poland,CCC,29,+36:36,6,+36:36,+36:36,CCC SPRANDI POLKOWICE
79,Hubert DUPONT,France,ALM,35,+36:48,6,+36:48,+36:48,AG2R LA MONDIALE
80,Luca PAOLINI,Italy,KAT,38,+37:01,6,+37:01,+37:01,TEAM KATUSHA
81,Sylvain CHAVANEL,France,IAM,36,+37:11,6,+37:11,+37:11,IAM CYCLING
82,Tom Jelte SLAGTER,Netherlands,TCG,26,+37:23,6,+37:23,+37:23,TEAM CANNONDALE - GARMIN
83,Michael MATTHEWS,Australia,OGE,25,+37:24,6,+37:24,+37:24,ORICA GREENEDGE
84,Grega BOLE,Slovenia,CCC,30,+38:19,6,+38:19,+38:19,CCC SPRANDI POLKOWICE
85,Davide VILLELLA,Italy,TCG,24,+38:54,6,+38:54,+38:54,TEAM CANNONDALE - GARMIN
86,Thomas DANIELSON,United States,TCG,37,+40:14,6,+40:14,+40:14,TEAM CANNONDALE - GARMIN
87,Manuele MORI,Italy,LAM,35,+40:38,6,+40:38,+40:38,LAMPRE - MERIDA
88,Sonny COLBRELLI,Italy,BAR,25,+40:50,6,+40:50,+40:50,BARDIANI CSF
89,Sander ARMEE,Belgium,LTS,30,+41:56,6,+41:56,+41:56,LOTTO SOUDAL
90,Elia FAVILLI,Italy,STH,26,+42:11,6,+42:11,+42:11,SOUTHEAST
91,Fabio SABATINI,Italy,EQS,30,+42:17,6,+42:17,+42:17,ETIXX - QUICK STEP
92,Ivan ROVNY,Russia,TCS,28,+43:01,6,+43:01,+43:01,TINKOFF - SAXO
93,Sergio Miguel MOREIRA PAULINHO,Portugal,TCS,35,+43:01,6,+43:01,+43:01,TINKOFF - SAXO
94,Kristof VANDEWALLE,Belgium,TFR,30,+44:48,6,+44:48,+44:48,TREK FACTORY RACING
95,Pieter WEENING,Netherlands,OGE,34,+45:35,6,+45:35,+45:35,ORICA GREENEDGE
96,Patrick GRETSCH,Germany,ALM,28,+45:57,6,+45:57,+45:57,AG2R LA MONDIALE
97,Fumiyuki BEPPU,Japan,TFR,32,+46:00,6,+46:00,+46:00,TREK FACTORY RACING
98,Enrico BARBIN,Italy,BAR,25,+46:12,6,+46:12,+46:12,BARDIANI CSF
99,Stefan KUENG,Switzerland,BMC,22,+46:18,6,+46:18,+46:18,BMC RACING TEAM
100,Chad HAGA,United States,TGA,27,+47:05,6,+47:05,+47:05,TEAM GIANT - ALPECIN
101,Alessandro BISOLTI,Italy,NIP,30,+47:11,6,+47:11,+47:11,NIPPO - VINI FANTINI
102,Axel DOMONT,France,ALM,25,+47:53,6,+47:53,+47:53,AG2R LA MONDIALE
103,Vasil KIRYIENKA,Belarus,SKY,34,+48:06,6,+48:06,+48:06,TEAM SKY
104,Marcus BURGHARDT,Germany,BMC,32,+48:15,6,+48:15,+48:15,BMC RACING TEAM
105,Manuel BELLETTI,Italy,STH,30,+48:16,6,+48:16,+48:16,SOUTHEAST
106,Matteo TOSATTO,Italy,TCS,41,+48:35,6,+48:35,+48:35,TINKOFF - SAXO
107,Dayer Uberney QUINTANA ROJAS,Colombia,MOV,23,+50:43,6,+50:43,+50:43,MOVISTAR TEAM
108,Alessandro PETACCHI,Italy,STH,41,+50:50,6,+50:50,+50:50,SOUTHEAST
109,Pier Paolo DE NEGRI,Italy,NIP,29,+50:55,6,+50:55,+50:55,NIPPO - VINI FANTINI
110,Rinaldo NOCENTINI,Italy,ALM,38,+51:19,6,+51:19,+51:19,AG2R LA MONDIALE
111,Tobias LUDVIGSSON,Sweden,TGA,24,+51:28,6,+51:28,+51:28,TEAM GIANT - ALPECIN
112,Heinrich HAUSSLER,Australia,IAM,31,+51:43,6,+51:43,+51:43,IAM CYCLING
113,Elia VIVIANI,Italy,SKY,26,+51:57,6,+51:57,+51:57,TEAM SKY
114,Arnaud COURTEILLE,France,FDJ,26,+52:56,6,+52:56,+52:56,FDJ
115,Luca CHIRICO,Italy,BAR,23,+53:14,6,+53:14,+53:14,BARDIANI CSF
116,Giacomo NIZZOLO,Italy,TFR,26,+53:25,6,+53:25,+53:25,TREK FACTORY RACING
117,Daniele COLLI,Italy,NIP,33,+53:53,6,+53:53,+53:53,NIPPO - VINI FANTINI
118,Davide APPOLLONIO,Italy,AND,26,+53:59,6,+53:59,+53:59,ANDRONI GIOCATTOLI - SIDERMEC
119,Giacomo BERLATO,Italy,NIP,23,+54:00,6,+54:00,+54:00,NIPPO - VINI FANTINI
120,Janier Alexis ACEVEDO COLLE,Colombia,TCG,30,+54:02,6,+54:02,+54:02,TEAM CANNONDALE - GARMIN
121,Murilo Antonio FISCHER,Brazil,FDJ,36,+54:31,6,+54:31,+54:31,FDJ
122,Simon GESCHKE,Germany,TGA,29,+54:41,6,+54:41,+54:41,TEAM GIANT - ALPECIN
123,Tom BOONEN,Belgium,EQS,35,+55:11,6,+55:11,+55:11,ETIXX - QUICK STEP
124,Moreno HOFLAND,Netherlands,TLJ,24,+55:22,6,+55:22,+55:22,TEAM LOTTO NL - JUMBO
125,Hugo HOULE,Canada,ALM,25,+55:29,6,+55:29,+55:29,AG2R LA MONDIALE
126,Anthony ROUX,France,FDJ,28,+55:44,6,+55:44,+55:44,FDJ
127,Lukasz OWSIAN,Poland,CCC,25,+55:47,6,+55:47,+55:47,CCC SPRANDI POLKOWICE
128,Nikolay MIHAYLOV,Bulgaria,CCC,27,+56:01,6,+56:01,+56:01,CCC SPRANDI POLKOWICE
129,André GREIPEL,Germany,LTS,33,+56:22,6,+56:22,+56:22,LOTTO SOUDAL
130,Nick VAN DER LIJKE,Netherlands,TLJ,24,+57:01,6,+57:01,+57:01,TEAM LOTTO NL - JUMBO
131,Maarten TJALLINGII,Netherlands,TLJ,38,+57:02,6,+57:02,+57:02,TEAM LOTTO NL - JUMBO
132,Sam BEWLEY,New Zealand,OGE,28,+57:07,6,+57:07,+57:07,ORICA GREENEDGE
133,Cédric PINEAU,France,FDJ,30,+57:09,6,+57:09,+57:09,FDJ
134,Luke DURBRIDGE,Australia,OGE,24,+57:14,6,+57:14,+57:14,ORICA GREENEDGE
135,Brett LANCASTER,Australia,OGE,36,+57:38,6,+57:38,+57:38,ORICA GREENEDGE
136,Eugenio ALAFACI,Italy,TFR,25,+57:44,6,+57:44,+57:44,TREK FACTORY RACING
137,Maxim BELKOV,Russia,KAT,30,+57:55,6,+57:55,+57:55,TEAM KATUSHA
138,Juan Jose LOBATO DEL VALLE,Spain,MOV,27,+58:00,6,+58:00,+58:00,MOVISTAR TEAM
139,Maximiliano Ariel RICHEZE,Argentina,LAM,32,+58:01,6,+58:01,+58:01,LAMPRE - MERIDA
140,Serghei TVETCOV,Romania,AND,27,+58:32,6,+58:32,+58:32,ANDRONI GIOCATTOLI - SIDERMEC
141,Caleb FAIRLY,United States,TGA,28,+58:33,6,+58:33,+58:33,TEAM GIANT - ALPECIN
142,Marek RUTKIEWICZ,Poland,CCC,34,+58:44,6,+58:44,+58:44,CCC SPRANDI POLKOWICE
143,Marco FRAPPORTI,Italy,AND,30,+59:04,6,+59:04,+59:04,ANDRONI GIOCATTOLI - SIDERMEC
144,Christopher JUUL JENSEN,Denmark,TCS,26,+59:10,6,+59:10,+59:10,TINKOFF - SAXO
145,Matteo BUSATO,Italy,STH,28,+59:30,6,+59:30,+59:30,SOUTHEAST
146,Petr VAKOC,Czech Republic,EQS,23,+59:37,6,+59:37,+59:37,ETIXX - QUICK STEP
147,Alexander PORSEV,Russia,KAT,29,+1:00:13,6,+1:00:13,+1:00:13,TEAM KATUSHA
148,Alan MARANGONI,Italy,TCG,31,+1:00:19,6,+1:00:19,+1:00:19,TEAM CANNONDALE - GARMIN
149,Jaroslaw MARYCZ,Poland,CCC,28,+1:00:46,6,+1:00:46,+1:00:46,CCC SPRANDI POLKOWICE
150,Julien BERARD,France,ALM,28,+1:01:01,6,+1:01:01,+1:01:01,AG2R LA MONDIALE
151,Lars Ytting BAK,Denmark,LTS,35,+1:01:06,6,+1:01:06,+1:01:06,LOTTO SOUDAL
152,Davide MALACARNE,Italy,AST,28,+1:01:17,6,+1:01:17,+1:01:17,ASTANA PRO TEAM
153,Greg HENDERSON,New Zealand,LTS,39,+1:01:36,6,+1:01:36,+1:01:36,LOTTO SOUDAL
154,Nicola RUFFONI,Italy,BAR,25,+1:01:38,6,+1:01:38,+1:01:38,BARDIANI CSF
155,Bartlomiej MATYSIAK,Poland,CCC,31,+1:01:46,6,+1:01:46,+1:01:46,CCC SPRANDI POLKOWICE
156,Luka MEZGEC,Slovenia,TGA,27,+1:01:50,6,+1:01:50,+1:01:50,TEAM GIANT - ALPECIN
157,Stig BROECKX,Belgium,LTS,25,+1:01:51,6,+1:01:51,+1:01:51,LOTTO SOUDAL
158,Fabio SILVESTRE,Portugal,TFR,25,+1:01:57,6,+1:01:57,+1:01:57,TREK FACTORY RACING
159,Roberto FERRARI,Italy,LAM,32,+1:02:09,6,+1:02:09,+1:02:09,LAMPRE - MERIDA
160,Boy VAN POPPEL,Netherlands,TFR,27,+1:02:16,6,+1:02:16,+1:02:16,TREK FACTORY RACING
161,Nikias ARNDT,Germany,TGA,24,+1:02:29,6,+1:02:29,+1:02:29,TEAM GIANT - ALPECIN
162,Bernhard EISEL,Austria,SKY,34,+1:02:29,6,+1:02:29,+1:02:29,TEAM SKY
163,Gang XU,China,LAM,31,+1:02:33,6,+1:02:33,+1:02:33,LAMPRE - MERIDA
164,Rick ZABEL,Germany,BMC,22,+1:02:35,6,+1:02:35,+1:02:35,BMC RACING TEAM
165,Kévin REZA,France,FDJ,27,+1:03:13,6,+1:03:13,+1:03:13,FDJ
166,Sacha MODOLO,Italy,LAM,28,+1:04:43,6,+1:04:43,+1:04:43,LAMPRE - MERIDA
167,Rick FLENS,Netherlands,TLJ,32,+1:05:05,6,+1:05:05,+1:05:05,TEAM LOTTO NL - JUMBO
168,Riccardo STACCHIOTTI,Italy,NIP,24,+1:05:13,6,+1:05:13,+1:05:13,NIPPO - VINI FANTINI
169,Louis VERVAEKE,Belgium,LTS,22,+1:05:16,6,+1:05:16,+1:05:16,LOTTO SOUDAL
170,Iljo KEISSE,Belgium,EQS,33,+1:06:29,6,+1:06:29,+1:06:29,ETIXX - QUICK STEP
171,Oscar GATTO,Italy,AND,30,+1:06:37,6,+1:06:37,+1:06:37,ANDRONI GIOCATTOLI - SIDERMEC
172,Tom STAMSNIJDER,Netherlands,TGA,30,+1:06:46,6,+1:06:46,+1:06:46,TEAM GIANT - ALPECIN
173,Jérôme PINEAU,France,IAM,35,+1:06:50,6,+1:06:50,+1:06:50,IAM CYCLING
174,Bert DE BACKER,Belgium,TGA,31,+1:06:54,6,+1:06:54,+1:06:54,TEAM GIANT - ALPECIN
175,Calvin WATSON,Australia,TFR,22,+1:07:20,6,+1:07:20,+1:07:20,TREK FACTORY RACING
176,Bertjan LINDEMAN,Netherlands,TLJ,26,+1:07:32,6,+1:07:32,+1:07:32,TEAM LOTTO NL - JUMBO
