Rank,Name,Country,Team Code,Age,ResultTime,Stage,Timegap1,Gap,Team
39,Matteo MONTAGUTI,Italy,ALM,31,+10:15,4,+10:15,+10:15,AG2R LA MONDIALE
40,Tsgabu Gebremaryam GRMAY,Ethiopia,LAM,24,+10:30,4,+10:30,+10:30,LAMPRE - MERIDA
41,Luis Leon SANCHEZ GIL,Spain,AST,32,+13:16,4,+13:16,+13:16,ASTANA PRO TEAM
42,Philippe GILBERT,Belgium,BMC,33,+13:18,4,+13:18,+13:18,BMC RACING TEAM
43,Francesco Manuel BONGIORNO,Italy,BAR,25,+13:40,4,+13:40,+13:40,BARDIANI CSF
44,Igor ANTON HERNANDEZ,Spain,MOV,32,+13:43,4,+13:43,+13:43,MOVISTAR TEAM
45,Carlos Alberto BETANCUR GOMEZ,Colombia,ALM,26,+13:51,4,+13:51,+13:51,AG2R LA MONDIALE
46,Andre Fernando S. Martins CARDOSO,Portugal,TCG,31,+13:56,4,+13:56,+13:56,TEAM CANNONDALE - GARMIN
47,Sébastien REICHENBACH,Switzerland,IAM,26,+14:37,4,+14:37,+14:37,IAM CYCLING
48,Stefano PIRAZZI,Italy,BAR,28,+14:49,4,+14:49,+14:49,BARDIANI CSF
49,Simon GERRANS,Australia,OGE,35,+17:09,4,+17:09,+17:09,ORICA GREENEDGE
50,Maxime BOUET,France,EQS,29,+17:30,4,+17:30,+17:30,ETIXX - QUICK STEP
51,Stef CLEMENT,Netherlands,IAM,33,+17:34,4,+17:34,+17:34,IAM CYCLING
52,Fabio FELLINE,Italy,TFR,25,+17:34,4,+17:34,+17:34,TREK FACTORY RACING
53,Kenny ELISSONDE,France,FDJ,24,+17:35,4,+17:35,+17:35,FDJ
54,Luca PAOLINI,Italy,KAT,38,+17:38,4,+17:38,+17:38,TEAM KATUSHA
55,Ilnur ZAKARIN,Russia,KAT,26,+17:38,4,+17:38,+17:38,TEAM KATUSHA
56,Salvatore PUCCIO,Italy,SKY,26,+17:57,4,+17:57,+17:57,TEAM SKY
57,Francesco GAVAZZI,Italy,STH,31,+18:01,4,+18:01,+18:01,SOUTHEAST
58,Jan POLANC,Slovenia,LAM,23,+19:19,4,+19:19,+19:19,LAMPRE - MERIDA
59,Diego ULISSI,Italy,LAM,26,+19:19,4,+19:19,+19:19,LAMPRE - MERIDA
60,Franco PELLIZOTTI,Italy,AND,37,+19:23,4,+19:23,+19:23,ANDRONI GIOCATTOLI - SIDERMEC
61,Michael MATTHEWS,Australia,OGE,25,+19:38,4,+19:38,+19:38,ORICA GREENEDGE
62,Ruben FERNANDEZ,Spain,MOV,24,+19:47,4,+19:47,+19:47,MOVISTAR TEAM
63,Brent BOOKWALTER,United States,BMC,31,+20:13,4,+20:13,+20:13,BMC RACING TEAM
64,Francis MOUREY,France,FDJ,35,+20:14,4,+20:14,+20:14,FDJ
65,Enrico BATTAGLIN,Italy,BAR,26,+20:25,4,+20:25,+20:25,BARDIANI CSF
66,Grega BOLE,Slovenia,CCC,30,+20:33,4,+20:33,+20:33,CCC SPRANDI POLKOWICE
67,Maciej PATERSKI,Poland,CCC,29,+20:33,4,+20:33,+20:33,CCC SPRANDI POLKOWICE
