Stage,Type
1,Team time trial
2,Flat stage
3,Hilly stage
4,Medium-mountain stage
5,Flat stage
6,Mountain stage
7,Hilly stage
8,Flat stage
9,Mountain stage
10,Individual time trial
11,Mountain stage
12,Flat stage
13,Medium-mountain stage
14,Mountain stage
15,Mountain stage
16,Mountain stage
17,Flat stage
18,Medium-mountain stage
19,Medium-mountain stage
20,Mountain stage
21,Individual time trial
