Rank,Name,Country,Stage,Gap,Team
90,Steven KRUIJSWIJK,Netherlands,1,+1:01,BELKIN
91,Stefano PIRAZZI,Italy,1,+1:07,BARDIANI CSF
92,Sonny COLBRELLI,Italy,1,+1:07,BARDIANI CSF
93,Francesco Manuel BONGIORNO,Italy,1,+1:07,BARDIANI CSF
94,Edoardo ZARDINI,Italy,1,+1:07,BARDIANI CSF
95,Enrico BARBIN,Italy,1,+1:07,BARDIANI CSF
96,Nicola BOEM,Italy,1,+1:07,BARDIANI CSF
97,Nicola RUFFONI,Italy,1,+1:07,BARDIANI CSF
98,Marco CANOLA,Italy,1,+1:07,BARDIANI CSF
99,Enrico BATTAGLIN,Italy,1,+1:07,BARDIANI CSF
100,Emanuele SELLA,Italy,1,+1:14,ANDRONI GIOCATTOLI - SIDERMEC
101,Yonder GODOY,Venezuela,1,+1:14,ANDRONI GIOCATTOLI - SIDERMEC
102,Diego ROSA,Italy,1,+1:14,ANDRONI GIOCATTOLI - SIDERMEC
103,Franco PELLIZOTTI,Italy,1,+1:14,ANDRONI GIOCATTOLI - SIDERMEC
104,Jackson RODRIGUEZ,Venezuela,1,+1:14,ANDRONI GIOCATTOLI - SIDERMEC
105,Johnny HOOGERLAND,Netherlands,1,+1:14,ANDRONI GIOCATTOLI - SIDERMEC
106,Paolo LONGO BORGHINI,Italy,1,+1:16,CANNONDALE
107,Jussi VEIKKANEN,Finland,1,+1:18,FDJ
108,Alexandre GENIEZ,France,1,+1:18,FDJ
109,Francis MOUREY,France,1,+1:18,FDJ
110,Laurent PICHON,France,1,+1:18,FDJ
111,Nacer BOUHANNI,France,1,+1:18,FDJ
112,Johan LE BON,France,1,+1:18,FDJ
113,Diego ULISSI,Italy,1,+1:20,LAMPRE - MERIDA
114,Roberto FERRARI,Italy,1,+1:20,LAMPRE - MERIDA
115,Przemyslaw NIEMIEC,Poland,1,+1:20,LAMPRE - MERIDA
116,Manuele MORI,Italy,1,+1:20,LAMPRE - MERIDA
117,Jan POLANC,Slovenia,1,+1:20,LAMPRE - MERIDA
118,Winner ANACONA GOMEZ,Colombia,1,+1:20,LAMPRE - MERIDA
119,Damiano CUNEGO,Italy,1,+1:20,LAMPRE - MERIDA
120,Albert TIMMER,Netherlands,1,+1:20,TEAM GIANT-SHIMANO
121,Leonardo Fabio DUQUE,Colombia,1,+1:23,COLOMBIA
122,Carlos Julian QUINTERO,Colombia,1,+1:23,COLOMBIA
123,Edwin Alcibiades AVILA VANEGAS,Colombia,1,+1:23,COLOMBIA
124,Fabio Andres DUARTE AREVALO,Colombia,1,+1:23,COLOMBIA
125,Jarlinson PANTANO,Colombia,1,+1:23,COLOMBIA
126,José HERRADA LOPEZ,Spain,1,+1:29,MOVISTAR TEAM
127,Angel VICIOSO ARCOS,Spain,1,+1:33,TEAM KATUSHA
128,Luca PAOLINI,Italy,1,+1:33,TEAM KATUSHA
129,Vladimir GUSEV,Russia,1,+1:33,TEAM KATUSHA
130,Daniel MORENO FERNANDEZ,Spain,1,+1:33,TEAM KATUSHA
131,Joaquin RODRIGUEZ OLIVER,Spain,1,+1:33,TEAM KATUSHA
132,Maxime MONFORT,Belgium,1,+1:34,LOTTO
133,Tim WELLENS,Belgium,1,+1:34,LOTTO
134,Tosh VAN DER SANDE,Belgium,1,+1:34,LOTTO
