altitude (m),StageNum,TotalDistance
359.4,8,1388.51109
396.4,8,1395.26642
411.6,8,1403.50082
424.2,8,1412.69505
540.8,8,1418.45324
719.8,8,1421.20665
841.4,8,1426.14713
803,8,1430.99658
857.6,8,1435.67392
718.4,8,1441.15586
820,9,1446.1011
1030.2,9,1449.94605
1165.2,9,1455.42713
1221,9,1461.68625
1018.8,9,1468.41497
660.2,9,1474.30518
731.6,9,1478.70897
894.4,9,1483.52261
960.6,9,1489.00036
711.4,9,1495.22725
445.4,9,1500.48421
285.2,9,1507.52027
469,9,1510.24597
623,9,1513.1363
401.2,9,1517.90574
278.2,9,1524.0701
487.8,9,1526.82661
583.8,9,1530.84529
382.6,9,1536.43328
473.8,9,1541.17838
463.6,9,1547.27058
640.8,9,1552.29942
842.2,9,1554.92916
1016.4,9,1558.46325
1101.8,9,1563.37856
1137.2,9,1570.34614
1028.2,9,1577.29134
1005.4,9,1584.42822
839.4,9,1591.60102
362,9,1598.74353
277,9,1607.05837
215.5,10,1617.27659
215.7,10,1625.61746
242,10,1632.22889
359.6,10,1635.38074
478.5,10,1638.23981
640.1,10,1640.83789
580.4,10,1644.72865
331.2,10,1649.00902
355.8,10,1653.71908
547,10,1658.33424
683.3,10,1660.44337
876.2,10,1662.544
1078.2,10,1665.35318
989.5,10,1669.49145
792.3,10,1673.6064
626.6,10,1677.95922
829,10,1680.11008
1028.6,10,1682.37723
1180.4,10,1685.32296
1276.9,10,1687.85814
1152.9,10,1693.59113
977.9,10,1697.9255
793.7,10,1703.2008
502,10,1708.22461
631.2,10,1712.13158
702.4,10,1713.99628
818,10,1715.62247
832.8,10,1717.95905
622.1,10,1723.00439
640.7,10,1727.4369
498.3,10,1733.49563
580.7,10,1736.66183
697.9,10,1738.35095
462,10,1742.80531
435.5,10,1747.80626
504.5,10,1751.10771
603.8,10,1753.35713
717.9,10,1754.87729
879.6,10,1755.86847
904.1,10,1758.36865
672.8,10,1762.95374
486.7,10,1767.27255
801.5,10,1770.12596
789.2,10,1771.35039
902.1,10,1772.61868
991.2,10,1773.82222
1034.8,10,1775.43877
261.9,11,1778.21601
244.5,11,1781.876
234.7,11,1785.1037
253.8,11,1788.60945
275.9,11,1791.91598
292.4,11,1795.49355
245.1,11,1799.78663
232.2,11,1803.53165
225,11,1806.395
221.8,11,1809.08802
221.2,11,1811.36688
250.9,11,1813.26769
267.6,11,1815.17652
270.9,11,1817.23902
314.6,11,1819.51536
261.3,11,1823.25336
350.5,11,1826.18476
459.2,11,1828.24477
544.4,11,1830.18319
543.5,11,1832.86518
578.1,11,1835.72489
582,11,1839.34895
590.9,11,1842.45835
503.1,11,1846.11038
469.6,11,1849.76769
492.1,11,1852.77162
488.5,11,1855.91508
520.6,11,1858.62495
515.1,11,1862.0869
511.4,11,1865.34777
456.5,11,1869.01371
509.1,11,1871.51721
545.4,11,1874.39256
651.3,11,1876.63157
739.3,11,1879.19486
791,11,1881.61965
806,11,1884.5609
830.5,11,1887.85791
734.3,11,1891.721
603,11,1896.23874
531.1,11,1900.3017
401.6,11,1904.44424
361.1,11,1908.55977
502.7,11,1910.31204
564.8,11,1912.0646
648.1,11,1913.81155
711.6,11,1915.43222
785.2,11,1916.97815
775.9,11,1920.08183
725.9,11,1923.02364
