Name,ContryCode,Team,Stage,Rank,Total Time,Gap,gap(s),Country
RENSHAW Mark,AUS,ETIXX-QUICK STEP,11,138,42h 25' 30'',+ 01h 21' 59'',4919,Australia
TRENTIN Matteo,ITA,ETIXX-QUICK STEP,11,139,42h 25' 51'',+ 01h 22' 20'',4940,Italy
PLAZA MOLINA Ruben,ESP,LAMPRE - MERIDA,11,140,42h 26' 07'',+ 01h 22' 36'',4956,Spain
SERPA SANTANDER José,COL,LAMPRE - MERIDA,11,141,42h 26' 12'',+ 01h 22' 41'',4961,Colombia
GENE Yohann,FRA,TEAM EUROPCAR,11,142,42h 27' 58'',+ 01h 24' 27'',5067,France
PERICHON Pierre-Luc,FRA,BRETAGNE - SECHE ENVIRONNEMENT,11,143,42h 28' 23'',+ 01h 24' 52'',5092,France
CUMMINGS Stephen,GBR,MTN-QHUBEKA,11,144,42h 28' 35'',+ 01h 25' 04'',5104,Great Britain
KENNAUGH Peter,GBR,TEAM SKY,11,145,42h 28' 51'',+ 01h 25' 20'',5120,Great Britain
TIMMER Albert,NED,TEAM GIANT-ALPECIN,11,146,42h 29' 02'',+ 01h 25' 31'',5131,Netherlands
BRÄNDLE Matthias,AUT,IAM CYCLING,11,147,42h 30' 31'',+ 01h 27' 00'',5220,Austria
ARREDONDO MORENO Julian,COL,TREK FACTORY RACING,11,148,42h 30' 40'',+ 01h 27' 09'',5229,Colombia
GUARNIERI Jacopo,ITA,TEAM KATUSHA,11,149,42h 31' 09'',+ 01h 27' 38'',5258,Italy
GAUDIN Damien,FRA,AG2R LA MONDIALE,11,150,42h 31' 11'',+ 01h 27' 40'',5260,France
ROWE Luke,GBR,TEAM SKY,11,151,42h 32' 33'',+ 01h 29' 02'',5342,Great Britain
DEVOLDER Stijn,BEL,TREK FACTORY RACING,11,152,42h 32' 58'',+ 01h 29' 27'',5367,Belgium
TOSATTO Matteo,ITA,TINKOFF-SAXO,11,153,42h 33' 20'',+ 01h 29' 49'',5389,Italy
DEBUSSCHERE Jens,BEL,LOTTO-SOUDAL,11,154,42h 33' 58'',+ 01h 30' 27'',5427,Belgium
DURBRIDGE Luke,AUS,ORICA GREENEDGE,11,155,42h 35' 02'',+ 01h 31' 31'',5491,Australia
GRUZDEV Dmitriy,KAZ,ASTANA PRO TEAM,11,156,42h 35' 12'',+ 01h 31' 41'',5501,Kazakhstan
DEMPSTER Zakkari,AUS,BORA-ARGON 18,11,157,42h 36' 15'',+ 01h 32' 44'',5564,Australia
BONO Matteo,ITA,LAMPRE - MERIDA,11,158,42h 36' 50'',+ 01h 33' 19'',5599,Italy
ERVITI OLLO Imanol,ESP,MOVISTAR TEAM,11,159,42h 37' 14'',+ 01h 33' 43'',5623,Spain
PIMANTA COSTA MENDES José Joao,POR,BORA-ARGON 18,11,160,42h 39' 15'',+ 01h 35' 44'',5744,Portugal
BRUN Fréderic,FRA,BRETAGNE - SECHE ENVIRONNEMENT,11,161,42h 42' 44'',+ 01h 39' 13'',5953,France
DE GENDT Thomas,BEL,LOTTO-SOUDAL,11,162,42h 42' 49'',+ 01h 39' 18'',5958,Belgium
VANBILSEN KENNETH,BEL,"COFIDIS, SOLUTIONS CREDITS",11,163,42h 42' 54'',+ 01h 39' 23'',5963,Belgium
LANGEVELD Sebastian,NED,TEAM CANNONDALE-GARMIN,11,164,42h 43' 32'',+ 01h 40' 01'',6001,Netherlands
CIMOLAI Davide,ITA,LAMPRE - MERIDA,11,165,42h 45' 43'',+ 01h 42' 12'',6132,Italy
VAN BAARLE Dylan,NED,TEAM CANNONDALE-GARMIN,11,166,42h 45' 56'',+ 01h 42' 25'',6145,Netherlands
NAULLEAU BRYAN,FRA,TEAM EUROPCAR,11,167,42h 46' 10'',+ 01h 42' 39'',6159,France
HALLER Marco,AUT,TEAM KATUSHA,11,168,42h 46' 18'',+ 01h 42' 47'',6167,Austria
DIDIER Laurent,LUX,TREK FACTORY RACING,11,169,42h 46' 52'',+ 01h 43' 21'',6201,Luxembourg
WEENING Pieter,NED,ORICA GREENEDGE,11,170,42h 48' 24'',+ 01h 44' 53'',6293,Netherlands
CHAVANEL Sébastien,FRA,FDJ,11,171,42h 49' 33'',+ 01h 46' 02'',6362,France
EDET Nicolas,FRA,"COFIDIS, SOLUTIONS CREDITS",11,172,42h 53' 44'',+ 01h 50' 13'',6613,France
BENNETT Sam,IRL,BORA-ARGON 18,11,173,42h 55' 00'',+ 01h 51' 29'',6689,Ireland
TUFT Svein,CAN,ORICA GREENEDGE,11,174,42h 57' 19'',+ 01h 53' 48'',6828,Canada
HANSEN Adam,AUS,LOTTO-SOUDAL,11,175,42h 58' 15'',+ 01h 54' 44'',6884,Australia
DOWSETT Alex,GBR,MOVISTAR TEAM,11,176,43h 07' 10'',+ 02h 03' 39'',7419,Great Britain
MATTHEWS Michael,AUS,ORICA GREENEDGE,11,177,43h 07' 45'',+ 02h 04' 14'',7454,Australia
FROOME Christopher,GBR,TEAM SKY,12,1,46h 50' 32'',0,0,Great Britain
VAN GARDEREN Tejay,USA,BMC RACING TEAM,12,2,46h 53' 24'',+ 02' 52'',172,United States of America
QUINTANA ROJAS Nairo Alexander,COL,MOVISTAR TEAM,12,3,46h 53' 41'',+ 03' 09'',189,Colombia
VALVERDE BELMONTE Alejandro,ESP,MOVISTAR TEAM,12,4,46h 54' 30'',+ 03' 58'',238,Spain
THOMAS Geraint,GBR,TEAM SKY,12,5,46h 54' 35'',+ 04' 03'',243,Great Britain
CONTADOR Alberto,ESP,TINKOFF-SAXO,12,6,46h 54' 36'',+ 04' 04'',244,Spain
GESINK Robert,NED,TEAM LOTTO NL - JUMBO,12,7,46h 56' 04'',+ 05' 32'',332,Netherlands
GALLOPIN Tony,FRA,LOTTO-SOUDAL,12,8,46h 58' 04'',+ 07' 32'',452,France
NIBALI Vincenzo,ITA,ASTANA PRO TEAM,12,9,46h 58' 19'',+ 07' 47'',467,Italy
MOLLEMA Bauke,NED,TREK FACTORY RACING,12,10,46h 58' 34'',+ 08' 02'',482,Netherlands
BARGUIL WARREN,FRA,TEAM GIANT-ALPECIN,12,11,47h 00' 15'',+ 09' 43'',583,France
FRANK Mathias,SUI,IAM CYCLING,12,12,47h 02' 57'',+ 12' 25'',745,Switzerland
SANCHEZ Samuel,ESP,BMC RACING TEAM,12,13,47h 03' 25'',+ 12' 53'',773,Spain
FUGLSANG Jakob,DEN,ASTANA PRO TEAM,12,14,47h 04' 05'',+ 13' 33'',813,Denmark
RODRIGUEZ OLIVER Joaquin,ESP,TEAM KATUSHA,12,15,47h 04' 17'',+ 13' 45'',825,Spain
ROLLAND Pierre,FRA,TEAM EUROPCAR,12,16,47h 04' 29'',+ 13' 57'',837,France
BARDET Romain,FRA,AG2R LA MONDIALE,12,17,47h 07' 37'',+ 17' 05'',1025,France
TALANSKY Andrew,USA,TEAM CANNONDALE-GARMIN,12,18,47h 10' 04'',+ 19' 32'',1172,United States of America
IZAGIRRE INSAUSTI Gorka,ESP,MOVISTAR TEAM,12,19,47h 17' 29'',+ 26' 57'',1617,Spain
SEPULVEDA Eduardo,ARG,BRETAGNE - SECHE ENVIRONNEMENT,12,20,47h 18' 51'',+ 28' 19'',1699,Argentina
VUILLERMOZ Alexis,FRA,AG2R LA MONDIALE,12,21,47h 19' 48'',+ 29' 16'',1756,France
MARTIN Daniel,IRL,TEAM CANNONDALE-GARMIN,12,22,47h 23' 32'',+ 33' 00'',1980,Ireland
KREUZIGER Roman,CZE,TINKOFF-SAXO,12,23,47h 23' 51'',+ 33' 19'',1999,Czech Republic
PINOT Thibaut,FRA,FDJ,12,24,47h 25' 13'',+ 34' 41'',2081,France
ROGERS Michael,AUS,TINKOFF-SAXO,12,25,47h 25' 20'',+ 34' 48'',2088,Australia
PAUWELS Serge,BEL,MTN-QHUBEKA,12,26,47h 27' 04'',+ 36' 32'',2192,Belgium
PANTANO GOMEZ Jarlinson,COL,IAM CYCLING,12,27,47h 27' 43'',+ 37' 11'',2231,Colombia
MORABITO Steve,SUI,FDJ,12,28,47h 28' 14'',+ 37' 42'',2262,Switzerland
CHEREL Mikael,FRA,AG2R LA MONDIALE,12,29,47h 31' 05'',+ 40' 33'',2433,France
PÉRAUD Jean-Christophe,FRA,AG2R LA MONDIALE,12,30,47h 32' 42'',+ 42' 10'',2530,France
CASTROVIEJO NICOLAS Jonathan,ESP,MOVISTAR TEAM,12,31,47h 34' 50'',+ 44' 18'',2658,Spain
LOSADA ALGUACIL Alberto,ESP,TEAM KATUSHA,12,32,47h 35' 00'',+ 44' 28'',2668,Spain
BAKELANTS Jan,BEL,AG2R LA MONDIALE,12,33,47h 35' 03'',+ 44' 31'',2671,Belgium
KANGERT Tanel,EST,ASTANA PRO TEAM,12,34,47h 36' 38'',+ 46' 06'',2766,Estonia
URAN URAN Rigoberto,COL,ETIXX-QUICK STEP,12,35,47h 38' 34'',+ 48' 02'',2882,Colombia
BAK Lars,DEN,LOTTO-SOUDAL,12,36,47h 38' 51'',+ 48' 19'',2899,Denmark
CHAVANEL Sylvain,FRA,IAM CYCLING,12,37,47h 40' 07'',+ 49' 35'',2975,France
SICARD Romain,FRA,TEAM EUROPCAR,12,38,47h 43' 04'',+ 52' 32'',3152,France
BARTA Jan,CZE,BORA-ARGON 18,12,39,47h 44' 12'',+ 53' 40'',3220,Czech Republic
PORTE Richie,AUS,TEAM SKY,12,40,47h 45' 23'',+ 54' 51'',3291,Australia
MAJKA Rafal,POL,TINKOFF-SAXO,12,41,47h 46' 19'',+ 55' 47'',3347,Poland
YATES Adam,GBR,ORICA GREENEDGE,12,42,47h 48' 30'',+ 57' 58'',3478,Great Britain
ZUBELDIA AGIRRE Haimar,ESP,TREK FACTORY RACING,12,43,47h 49' 29'',+ 58' 57'',3537,Spain
KRUIJSWIJK Steven,NED,TEAM LOTTO NL - JUMBO,12,44,47h 49' 44'',+ 59' 12'',3552,Netherlands
GESCHKE Simon,GER,TEAM GIANT-ALPECIN,12,45,47h 49' 49'',+ 59' 17'',3557,Germany
TANKINK Bram,NED,TEAM LOTTO NL - JUMBO,12,46,47h 49' 58'',+ 59' 26'',3566,Netherlands
ROCHE Nicolas,IRL,TEAM SKY,12,47,47h 50' 46'',+ 01h 00' 14'',3614,Ireland
JANSE VAN RENSBURG Jacques,RSA,MTN-QHUBEKA,12,48,47h 52' 46'',+ 01h 02' 14'',3734,South Africa
VANMARCKE Sep,BEL,TEAM LOTTO NL - JUMBO,12,49,47h 54' 12'',+ 01h 03' 40'',3820,Belgium
VAN AVERMAET Greg,BEL,BMC RACING TEAM,12,50,47h 55' 02'',+ 01h 04' 30'',3870,Belgium
HESJEDAL Ryder,CAN,TEAM CANNONDALE-GARMIN,12,51,47h 58' 23'',+ 01h 07' 51'',4071,Canada
MEINTJES Louis,RSA,MTN-QHUBEKA,12,52,47h 59' 11'',+ 01h 08' 39'',4119,South Africa
GAUTIER Cyril,FRA,TEAM EUROPCAR,12,53,47h 59' 17'',+ 01h 08' 45'',4125,France
VOECKLER Thomas,FRA,TEAM EUROPCAR,12,54,47h 59' 35'',+ 01h 09' 03'',4143,France
MACHADO Tiago,POR,TEAM KATUSHA,12,55,47h 59' 41'',+ 01h 09' 09'',4149,Portugal
SAGAN Peter,SVK,TINKOFF-SAXO,12,56,48h 00' 05'',+ 01h 09' 33'',4173,Slovakia
BUCHMANN Emanuel,GER,BORA-ARGON 18,12,57,48h 00' 53'',+ 01h 10' 21'',4221,Germany
TEN DAM Laurens,NED,TEAM LOTTO NL - JUMBO,12,58,48h 01' 04'',+ 01h 10' 32'',4232,Netherlands
VOSS Paul,GER,BORA-ARGON 18,12,59,48h 01' 15'',+ 01h 10' 43'',4243,Germany
KWIATKOWSKI Michal,POL,ETIXX-QUICK STEP,12,60,48h 01' 22'',+ 01h 10' 50'',4250,Poland
SCHÄR Michael,SUI,BMC RACING TEAM,12,61,48h 01' 34'',+ 01h 11' 02'',4262,Switzerland
KELDERMAN Wilco,NED,TEAM LOTTO NL - JUMBO,12,62,48h 01' 50'',+ 01h 11' 18'',4278,Netherlands
DELAPLACE Anthony,FRA,BRETAGNE - SECHE ENVIRONNEMENT,12,63,48h 02' 12'',+ 01h 11' 40'',4300,France
SIMON Julien,FRA,"COFIDIS, SOLUTIONS CREDITS",12,64,48h 03' 09'',+ 01h 12' 37'',4357,France
GRIVKO Andriy,UKR,ASTANA PRO TEAM,12,65,48h 05' 22'',+ 01h 14' 50'',4490,Ukraine
WYSS Danilo,SUI,BMC RACING TEAM,12,66,48h 05' 49'',+ 01h 15' 17'',4517,Switzerland
WYSS Marcel,SUI,IAM CYCLING,12,67,48h 07' 01'',+ 01h 16' 29'',4589,Switzerland
PREIDLER Georg,AUT,TEAM GIANT-ALPECIN,12,68,48h 07' 46'',+ 01h 17' 14'',4634,Austria
DE KORT Koen,NED,TEAM GIANT-ALPECIN,12,69,48h 08' 09'',+ 01h 17' 37'',4657,Netherlands
COPPEL Jérôme,FRA,IAM CYCLING,12,70,48h 09' 05'',+ 01h 18' 33'',4713,France
STYBAR Zdenek,CZE,ETIXX-QUICK STEP,12,71,48h 09' 09'',+ 01h 18' 37'',4717,Czech Republic
KOREN Kristijan,SLO,TEAM CANNONDALE-GARMIN,12,72,48h 09' 57'',+ 01h 19' 25'',4765,Slovenia
HUZARSKI Bartosz,POL,BORA-ARGON 18,12,73,48h 10' 00'',+ 01h 19' 28'',4768,Poland
HERRADA LOPEZ José,ESP,MOVISTAR TEAM,12,74,48h 10' 58'',+ 01h 20' 26'',4826,Spain
MATE MARDONES Luis Angel,ESP,"COFIDIS, SOLUTIONS CREDITS",12,75,48h 11' 44'',+ 01h 21' 12'',4872,Spain
TEKLEHAIMANOT Daniel,ERI,MTN-QHUBEKA,12,76,48h 12' 33'',+ 01h 22' 01'',4921,Eritrea
LADAGNOUS Matthieu,FRA,FDJ,12,77,48h 13' 06'',+ 01h 22' 34'',4954,France
BOASSON HAGEN Edvald,NOR,MTN-QHUBEKA,12,78,48h 13' 43'',+ 01h 23' 11'',4991,Norway
DURASEK Kristijan,CRO,LAMPRE - MERIDA,12,79,48h 14' 11'',+ 01h 23' 39'',5019,Croatia
CARUSO Damiano,ITA,BMC RACING TEAM,12,80,48h 14' 21'',+ 01h 23' 49'',5029,Italy
KONIG Leopold,CZE,TEAM SKY,12,81,48h 15' 32'',+ 01h 25' 00'',5100,Czech Republic
SOUPE GEOFFREY,FRA,"COFIDIS, SOLUTIONS CREDITS",12,82,48h 17' 34'',+ 01h 27' 02'',5222,France
NAVARRO GARCIA Daniel,ESP,"COFIDIS, SOLUTIONS CREDITS",12,83,48h 17' 41'',+ 01h 27' 09'',5229,Spain
