Name,ContryCode,Team,Stage,Rank,Total Time,Gap,gap(s),Country
DENNIS Rohan,AUS,BMC RACING TEAM,1,1,14' 56'',0,0,Australia
MARTIN Tony,GER,ETIXX-QUICK STEP,1,2,15' 01'',+ 00' 05'',5,Germany
CANCELLARA Fabian,SUI,TREK FACTORY RACING,1,3,15' 02'',+ 00' 06'',6,Switzerland
DUMOULIN Tom,NED,TEAM GIANT-ALPECIN,1,4,15' 04'',+ 00' 08'',8,Netherlands
VAN EMDEN Jos,NED,TEAM LOTTO NL - JUMBO,1,5,15' 11'',+ 00' 15'',15,Netherlands
CASTROVIEJO NICOLAS Jonathan,ESP,MOVISTAR TEAM,1,6,15' 19'',+ 00' 23'',23,Spain
BRÄNDLE Matthias,AUT,IAM CYCLING,1,7,15' 19'',+ 00' 23'',23,Austria
MALORI Adriano,ITA,MOVISTAR TEAM,1,8,15' 25'',+ 00' 29'',29,Italy
KELDERMAN Wilco,NED,TEAM LOTTO NL - JUMBO,1,9,15' 26'',+ 00' 30'',30,Netherlands
CUMMINGS Stephen,GBR,MTN-QHUBEKA,1,10,15' 28'',+ 00' 32'',32,Great Britain
GESINK Robert,NED,TEAM LOTTO NL - JUMBO,1,11,15' 29'',+ 00' 33'',33,Netherlands
THOMAS Geraint,GBR,TEAM SKY,1,12,15' 29'',+ 00' 33'',33,Great Britain
DOWSETT Alex,GBR,MOVISTAR TEAM,1,13,15' 32'',+ 00' 36'',36,Great Britain
MOLLEMA Bauke,NED,TREK FACTORY RACING,1,14,15' 33'',+ 00' 37'',37,Netherlands
JUNGELS Bob,LUX,TREK FACTORY RACING,1,15,15' 34'',+ 00' 38'',38,Luxembourg
VAN BAARLE Dylan,NED,TEAM CANNONDALE-GARMIN,1,16,15' 34'',+ 00' 38'',38,Netherlands
URAN URAN Rigoberto,COL,ETIXX-QUICK STEP,1,17,15' 36'',+ 00' 40'',40,Colombia
PINOT Thibaut,FRA,FDJ,1,18,15' 37'',+ 00' 41'',41,France
SAGAN Peter,SVK,TINKOFF-SAXO,1,19,15' 37'',+ 00' 41'',41,Slovakia
VAN GARDEREN Tejay,USA,BMC RACING TEAM,1,20,15' 38'',+ 00' 42'',42,United States of America
KONIG Leopold,CZE,TEAM SKY,1,21,15' 39'',+ 00' 43'',43,Czech Republic
NIBALI Vincenzo,ITA,ASTANA PRO TEAM,1,22,15' 39'',+ 00' 43'',43,Italy
BOOM Lars,NED,ASTANA PRO TEAM,1,23,15' 40'',+ 00' 44'',44,Netherlands
OSS Daniel,ITA,BMC RACING TEAM,1,24,15' 40'',+ 00' 44'',44,Italy
TUFT Svein,CAN,ORICA GREENEDGE,1,25,15' 41'',+ 00' 45'',45,Canada
DEGENKOLB John,GER,TEAM GIANT-ALPECIN,1,26,15' 41'',+ 00' 45'',45,Germany
WESTRA Lieuwe,NED,ASTANA PRO TEAM,1,27,15' 41'',+ 00' 45'',45,Netherlands
STYBAR Zdenek,CZE,ETIXX-QUICK STEP,1,28,15' 41'',+ 00' 45'',45,Czech Republic
CHAVANEL Sylvain,FRA,IAM CYCLING,1,29,15' 41'',+ 00' 45'',45,France
TAARAMÄE Rein,EST,ASTANA PRO TEAM,1,30,15' 41'',+ 00' 45'',45,Estonia
KRUIJSWIJK Steven,NED,TEAM LOTTO NL - JUMBO,1,31,15' 41'',+ 00' 45'',45,Netherlands
DURBRIDGE Luke,AUS,ORICA GREENEDGE,1,32,15' 42'',+ 00' 46'',46,Australia
YATES Simon,GBR,ORICA GREENEDGE,1,33,15' 42'',+ 00' 46'',46,Great Britain
ROGERS Michael,AUS,TINKOFF-SAXO,1,34,15' 43'',+ 00' 47'',47,Australia
ROY Jérémy,FRA,FDJ,1,35,15' 43'',+ 00' 47'',47,France
VANMARCKE Sep,BEL,TEAM LOTTO NL - JUMBO,1,36,15' 45'',+ 00' 49'',49,Belgium
ELMIGER Martin,SUI,IAM CYCLING,1,37,15' 46'',+ 00' 50'',50,Switzerland
VAN AVERMAET Greg,BEL,BMC RACING TEAM,1,38,15' 46'',+ 00' 50'',50,Belgium
FROOME Christopher,GBR,TEAM SKY,1,39,15' 46'',+ 00' 50'',50,Great Britain
COPPEL Jérôme,FRA,IAM CYCLING,1,40,15' 47'',+ 00' 51'',51,France
IZAGIRRE INSAUSTI Gorka,ESP,MOVISTAR TEAM,1,41,15' 49'',+ 00' 53'',53,Spain
MARTENS Paul,GER,TEAM LOTTO NL - JUMBO,1,42,15' 51'',+ 00' 55'',55,Germany
VALVERDE BELMONTE Alejandro,ESP,MOVISTAR TEAM,1,43,15' 52'',+ 00' 56'',56,Spain
IMPEY Daryl,RSA,ORICA GREENEDGE,1,44,15' 53'',+ 00' 57'',57,South Africa
GRIVKO Andriy,UKR,ASTANA PRO TEAM,1,45,15' 53'',+ 00' 57'',57,Ukraine
CONTADOR Alberto,ESP,TINKOFF-SAXO,1,46,15' 54'',+ 00' 58'',58,Spain
MATTHEWS Michael,AUS,ORICA GREENEDGE,1,47,15' 54'',+ 00' 58'',58,Australia
GALLOPIN Tony,FRA,LOTTO-SOUDAL,1,48,15' 54'',+ 00' 58'',58,France
IRIZAR ARRANBURU Markel,ESP,TREK FACTORY RACING,1,49,15' 54'',+ 00' 58'',58,Spain
PÉRAUD Jean-Christophe,FRA,AG2R LA MONDIALE,1,50,15' 55'',+ 00' 59'',59,France
PREIDLER Georg,AUT,TEAM GIANT-ALPECIN,1,51,15' 55'',+ 00' 59'',59,Austria
BOASSON HAGEN Edvald,NOR,MTN-QHUBEKA,1,52,15' 55'',+ 00' 59'',59,Norway
MORABITO Steve,SUI,FDJ,1,53,15' 56'',+ 01' 00'',60,Switzerland
ALBASINI Michael,SUI,ORICA GREENEDGE,1,54,15' 56'',+ 01' 00'',60,Switzerland
GAUDIN Damien,FRA,AG2R LA MONDIALE,1,55,15' 56'',+ 01' 00'',60,France
ZUBELDIA AGIRRE Haimar,ESP,TREK FACTORY RACING,1,56,15' 57'',+ 01' 01'',61,Spain
QUINTANA ROJAS Nairo Alexander,COL,MOVISTAR TEAM,1,57,15' 57'',+ 01' 01'',61,Colombia
KANGERT Tanel,EST,ASTANA PRO TEAM,1,58,15' 58'',+ 01' 02'',62,Estonia
SANCHEZ Samuel,ESP,BMC RACING TEAM,1,59,16' 00'',+ 01' 04'',64,Spain
QUINZIATO Manuel,ITA,BMC RACING TEAM,1,60,16' 00'',+ 01' 04'',64,Italy
GESCHKE Simon,GER,TEAM GIANT-ALPECIN,1,61,16' 01'',+ 01' 05'',65,Germany
POELS Wouter,NED,TEAM SKY,1,62,16' 01'',+ 01' 05'',65,Netherlands
KREUZIGER Roman,CZE,TINKOFF-SAXO,1,63,16' 02'',+ 01' 06'',66,Czech Republic
KWIATKOWSKI Michal,POL,ETIXX-QUICK STEP,1,64,16' 02'',+ 01' 06'',66,Poland
PORTE Richie,AUS,TEAM SKY,1,65,16' 02'',+ 01' 06'',66,Australia
WEENING Pieter,NED,ORICA GREENEDGE,1,66,16' 03'',+ 01' 07'',67,Netherlands
LEEZER Thomas,NED,TEAM LOTTO NL - JUMBO,1,67,16' 03'',+ 01' 07'',67,Netherlands
KENNAUGH Peter,GBR,TEAM SKY,1,68,16' 04'',+ 01' 08'',68,Great Britain
MACHADO Tiago,POR,TEAM KATUSHA,1,69,16' 04'',+ 01' 08'',68,Portugal
PIMANTA COSTA MENDES José Joao,POR,BORA-ARGON 18,1,70,16' 04'',+ 01' 08'',68,Portugal
KRISTOFF Alexander,NOR,TEAM KATUSHA,1,71,16' 04'',+ 01' 08'',68,Norway
HOLLENSTEIN Reto,SUI,IAM CYCLING,1,72,16' 05'',+ 01' 09'',69,Switzerland
SIEBERG Marcel,GER,LOTTO-SOUDAL,1,73,16' 06'',+ 01' 10'',70,Germany
STANNARD Ian,GBR,TEAM SKY,1,74,16' 07'',+ 01' 11'',71,Great Britain
BAUER Jack,NZL,TEAM CANNONDALE-GARMIN,1,75,16' 07'',+ 01' 11'',71,New Zealand
GREIPEL André,GER,LOTTO-SOUDAL,1,76,16' 07'',+ 01' 11'',71,Germany
ERVITI OLLO Imanol,ESP,MOVISTAR TEAM,1,77,16' 07'',+ 01' 11'',71,Spain
BUCHMANN Emanuel,GER,BORA-ARGON 18,1,78,16' 08'',+ 01' 12'',72,Germany
FRANK Mathias,SUI,IAM CYCLING,1,79,16' 08'',+ 01' 12'',72,Switzerland
WYSS Marcel,SUI,IAM CYCLING,1,80,16' 08'',+ 01' 12'',72,Switzerland
DEMARE Arnaud,FRA,FDJ,1,81,16' 08'',+ 01' 12'',72,France
ANACONA GOMEZ Winner Andrew,COL,MOVISTAR TEAM,1,82,16' 09'',+ 01' 13'',73,Colombia
COSTA Rui Alberto,POR,LAMPRE - MERIDA,1,83,16' 09'',+ 01' 13'',73,Portugal
VERMOTE Julien,BEL,ETIXX-QUICK STEP,1,84,16' 09'',+ 01' 13'',73,Belgium
SICARD Romain,FRA,TEAM EUROPCAR,1,85,16' 09'',+ 01' 13'',73,France
DEMPSTER Zakkari,AUS,BORA-ARGON 18,1,86,16' 10'',+ 01' 14'',74,Australia
HESJEDAL Ryder,CAN,TEAM CANNONDALE-GARMIN,1,87,16' 11'',+ 01' 15'',75,Canada
BONNET William,FRA,FDJ,1,88,16' 11'',+ 01' 15'',75,France
KOREN Kristijan,SLO,TEAM CANNONDALE-GARMIN,1,89,16' 11'',+ 01' 15'',75,Slovenia
TALANSKY Andrew,USA,TEAM CANNONDALE-GARMIN,1,90,16' 11'',+ 01' 15'',75,United States of America
TEN DAM Laurens,NED,TEAM LOTTO NL - JUMBO,1,91,16' 11'',+ 01' 15'',75,Netherlands
HUZARSKI Bartosz,POL,BORA-ARGON 18,1,92,16' 12'',+ 01' 16'',76,Poland
BENNATI Daniele,ITA,TINKOFF-SAXO,1,93,16' 12'',+ 01' 16'',76,Italy
OLIVEIRA Nelson,POR,LAMPRE - MERIDA,1,94,16' 12'',+ 01' 16'',76,Portugal
MARTIN Daniel,IRL,TEAM CANNONDALE-GARMIN,1,95,16' 13'',+ 01' 17'',77,Ireland
CLEMENT Stef,NED,IAM CYCLING,1,96,16' 13'',+ 01' 17'',77,Netherlands
YATES Adam,GBR,ORICA GREENEDGE,1,97,16' 14'',+ 01' 18'',78,Great Britain
LANGEVELD Sebastian,NED,TEAM CANNONDALE-GARMIN,1,98,16' 15'',+ 01' 19'',79,Netherlands
BAK Lars,DEN,LOTTO-SOUDAL,1,99,16' 15'',+ 01' 19'',79,Denmark
DEVOLDER Stijn,BEL,TREK FACTORY RACING,1,100,16' 15'',+ 01' 19'',79,Belgium
ROCHE Nicolas,IRL,TEAM SKY,1,101,16' 16'',+ 01' 20'',80,Ireland
WELLENS Tim,BEL,LOTTO-SOUDAL,1,102,16' 17'',+ 01' 21'',81,Belgium
MEINTJES Louis,RSA,MTN-QHUBEKA,1,103,16' 17'',+ 01' 21'',81,South Africa
PAUWELS Serge,BEL,MTN-QHUBEKA,1,104,16' 17'',+ 01' 21'',81,Belgium
FARRAR Tyler,USA,MTN-QHUBEKA,1,105,16' 18'',+ 01' 22'',82,United States of America
HENDERSON Gregory,NZL,LOTTO-SOUDAL,1,106,16' 18'',+ 01' 22'',82,New Zealand
VACHON Florian,FRA,BRETAGNE - SECHE ENVIRONNEMENT,1,107,16' 18'',+ 01' 22'',82,France
GERRANS Simon,AUS,ORICA GREENEDGE,1,108,16' 18'',+ 01' 22'',82,Australia
LOSADA ALGUACIL Alberto,ESP,TEAM KATUSHA,1,109,16' 19'',+ 01' 23'',83,Spain
TANKINK Bram,NED,TEAM LOTTO NL - JUMBO,1,110,16' 19'',+ 01' 23'',83,Netherlands
MAJKA Rafal,POL,TINKOFF-SAXO,1,111,16' 19'',+ 01' 23'',83,Poland
VOECKLER Thomas,FRA,TEAM EUROPCAR,1,112,16' 20'',+ 01' 24'',84,France
LADAGNOUS Matthieu,FRA,FDJ,1,113,16' 20'',+ 01' 24'',84,France
EDET Nicolas,FRA,"COFIDIS, SOLUTIONS CREDITS",1,114,16' 20'',+ 01' 24'',84,France
SENECHAL Florian,FRA,"COFIDIS, SOLUTIONS CREDITS",1,115,16' 20'',+ 01' 24'',84,France
WYSS Danilo,SUI,BMC RACING TEAM,1,116,16' 20'',+ 01' 24'',84,Switzerland
GOLAS Michal,POL,ETIXX-QUICK STEP,1,117,16' 20'',+ 01' 24'',84,Poland
SCHILLINGER Andreas,GER,BORA-ARGON 18,1,118,16' 21'',+ 01' 25'',85,Germany
VOSS Paul,GER,BORA-ARGON 18,1,119,16' 21'',+ 01' 25'',85,Germany
LAPORTE Christophe,FRA,"COFIDIS, SOLUTIONS CREDITS",1,120,16' 21'',+ 01' 25'',85,France
SINKELDAM Ramon,NED,TEAM GIANT-ALPECIN,1,121,16' 21'',+ 01' 25'',85,Netherlands
TRENTIN Matteo,ITA,ETIXX-QUICK STEP,1,122,16' 22'',+ 01' 26'',86,Italy
CAVENDISH Mark,GBR,ETIXX-QUICK STEP,1,123,16' 22'',+ 01' 26'',86,Great Britain
DE GENDT Thomas,BEL,LOTTO-SOUDAL,1,124,16' 22'',+ 01' 26'',86,Belgium
RODRIGUEZ OLIVER Joaquin,ESP,TEAM KATUSHA,1,125,16' 22'',+ 01' 26'',86,Spain
FUGLSANG Jakob,DEN,ASTANA PRO TEAM,1,126,16' 22'',+ 01' 26'',86,Denmark
BARGUIL WARREN,FRA,TEAM GIANT-ALPECIN,1,127,16' 23'',+ 01' 27'',87,France
GRUZDEV Dmitriy,KAZ,ASTANA PRO TEAM,1,128,16' 23'',+ 01' 27'',87,Kazakhstan
JANSE VAN RENSBURG Jacques,RSA,MTN-QHUBEKA,1,129,16' 23'',+ 01' 27'',87,South Africa
GENIEZ Alexandre,FRA,FDJ,1,130,16' 23'',+ 01' 27'',87,France
SCARPONI Michele,ITA,ASTANA PRO TEAM,1,131,16' 24'',+ 01' 28'',88,Italy
RIBLON Christophe,FRA,AG2R LA MONDIALE,1,132,16' 26'',+ 01' 30'',90,France
VALLS FERRI Rafael,ESP,LAMPRE - MERIDA,1,133,16' 26'',+ 01' 30'',90,Spain
PANTANO GOMEZ Jarlinson,COL,IAM CYCLING,1,134,16' 27'',+ 01' 31'',91,Colombia
FEDRIGO Pierrick,FRA,BRETAGNE - SECHE ENVIRONNEMENT,1,135,16' 27'',+ 01' 31'',91,France
NAVARRO GARCIA Daniel,ESP,"COFIDIS, SOLUTIONS CREDITS",1,136,16' 27'',+ 01' 31'',91,Spain
RAST Gregory,SUI,TREK FACTORY RACING,1,137,16' 27'',+ 01' 31'',91,Switzerland
NERZ Dominik,GER,BORA-ARGON 18,1,138,16' 27'',+ 01' 31'',91,Germany
BAKELANTS Jan,BEL,AG2R LA MONDIALE,1,139,16' 28'',+ 01' 32'',92,Belgium
VAUGRENARD Benoît,FRA,FDJ,1,140,16' 28'',+ 01' 32'',92,France
NAVARDAUSKAS Ramunas,LTU,TEAM CANNONDALE-GARMIN,1,141,16' 29'',+ 01' 33'',93,Lithuania
DEBUSSCHERE Jens,BEL,LOTTO-SOUDAL,1,142,16' 29'',+ 01' 33'',93,Belgium
SIMON Julien,FRA,"COFIDIS, SOLUTIONS CREDITS",1,143,16' 29'',+ 01' 33'',93,France
DELAPLACE Anthony,FRA,BRETAGNE - SECHE ENVIRONNEMENT,1,144,16' 29'',+ 01' 33'',93,France
BARDET Romain,FRA,AG2R LA MONDIALE,1,145,16' 30'',+ 01' 34'',94,France
TEKLEHAIMANOT Daniel,ERI,MTN-QHUBEKA,1,146,16' 30'',+ 01' 34'',94,Eritrea
CARUSO Damiano,ITA,BMC RACING TEAM,1,147,16' 30'',+ 01' 34'',94,Italy
BARTA Jan,CZE,BORA-ARGON 18,1,148,16' 31'',+ 01' 35'',95,Czech Republic
NAULLEAU BRYAN,FRA,TEAM EUROPCAR,1,149,16' 31'',+ 01' 35'',95,France
HALLER Marco,AUT,TEAM KATUSHA,1,150,16' 31'',+ 01' 35'',95,Austria
GAUTIER Cyril,FRA,TEAM EUROPCAR,1,151,16' 32'',+ 01' 36'',96,France
JANSE VAN RENSBURG Reinardt,RSA,MTN-QHUBEKA,1,152,16' 33'',+ 01' 37'',97,South Africa
DE KORT Koen,NED,TEAM GIANT-ALPECIN,1,153,16' 33'',+ 01' 37'',97,Netherlands
HAAS Nathan,AUS,TEAM CANNONDALE-GARMIN,1,154,16' 33'',+ 01' 37'',97,Australia
TIMMER Albert,NED,TEAM GIANT-ALPECIN,1,155,16' 35'',+ 01' 39'',99,Netherlands
TOSATTO Matteo,ITA,TINKOFF-SAXO,1,156,16' 36'',+ 01' 40'',100,Italy
SEPULVEDA Eduardo,ARG,BRETAGNE - SECHE ENVIRONNEMENT,1,157,16' 36'',+ 01' 40'',100,Argentina
PLAZA MOLINA Ruben,ESP,LAMPRE - MERIDA,1,158,16' 36'',+ 01' 40'',100,Spain
KOZONTCHUK Dmitry,RUS,TEAM KATUSHA,1,159,16' 37'',+ 01' 41'',101,Russian Federation
VUILLERMOZ Alexis,FRA,AG2R LA MONDIALE,1,160,16' 38'',+ 01' 42'',102,France
POZZATO Filippo,ITA,LAMPRE - MERIDA,1,161,16' 38'',+ 01' 42'',102,Italy
SOUPE GEOFFREY,FRA,"COFIDIS, SOLUTIONS CREDITS",1,162,16' 39'',+ 01' 43'',103,France
CIMOLAI Davide,ITA,LAMPRE - MERIDA,1,163,16' 39'',+ 01' 43'',103,Italy
BASSO Ivan,ITA,TINKOFF-SAXO,1,164,16' 41'',+ 01' 45'',105,Italy
RENSHAW Mark,AUS,ETIXX-QUICK STEP,1,165,16' 42'',+ 01' 46'',106,Australia
ROLLAND Pierre,FRA,TEAM EUROPCAR,1,166,16' 42'',+ 01' 46'',106,France
HANSEN Adam,AUS,LOTTO-SOUDAL,1,167,16' 43'',+ 01' 47'',107,Australia
DIDIER Laurent,LUX,TREK FACTORY RACING,1,168,16' 43'',+ 01' 47'',107,Luxembourg
VAN SUMMEREN Johan,BEL,AG2R LA MONDIALE,1,169,16' 44'',+ 01' 48'',108,Belgium
VANBILSEN KENNETH,BEL,"COFIDIS, SOLUTIONS CREDITS",1,170,16' 44'',+ 01' 48'',108,Belgium
BENNETT Sam,IRL,BORA-ARGON 18,1,171,16' 44'',+ 01' 48'',108,Ireland
ANDERSEN Michael Valgren,DEN,TINKOFF-SAXO,1,172,16' 45'',+ 01' 49'',109,Denmark
ARREDONDO MORENO Julian,COL,TREK FACTORY RACING,1,173,16' 46'',+ 01' 50'',110,Colombia
HERRADA LOPEZ José,ESP,MOVISTAR TEAM,1,174,16' 46'',+ 01' 50'',110,Spain
KUDUS GHEBREMEDHIN Merhawi,ERI,MTN-QHUBEKA,1,175,16' 47'',+ 01' 51'',111,Eritrea
COQUARD Bryan,FRA,TEAM EUROPCAR,1,176,16' 47'',+ 01' 51'',111,France
SCHÄR Michael,SUI,BMC RACING TEAM,1,177,16' 47'',+ 01' 51'',111,Switzerland
GUARNIERI Jacopo,ITA,TEAM KATUSHA,1,178,16' 47'',+ 01' 51'',111,Italy
GENE Yohann,FRA,TEAM EUROPCAR,1,179,16' 49'',+ 01' 53'',113,France
ROWE Luke,GBR,TEAM SKY,1,180,16' 50'',+ 01' 54'',114,Great Britain
PAOLINI Luca,ITA,TEAM KATUSHA,1,181,16' 51'',+ 01' 55'',115,Italy
DURASEK Kristijan,CRO,LAMPRE - MERIDA,1,182,16' 51'',+ 01' 55'',115,Croatia
TULIK ANGÉLO,FRA,TEAM EUROPCAR,1,183,16' 53'',+ 01' 57'',117,France
MATE MARDONES Luis Angel,ESP,"COFIDIS, SOLUTIONS CREDITS",1,184,16' 54'',+ 01' 58'',118,Spain
BRUN Fréderic,FRA,BRETAGNE - SECHE ENVIRONNEMENT,1,185,16' 57'',+ 02' 01'',121,France
CHAVANEL Sébastien,FRA,FDJ,1,186,16' 58'',+ 02' 02'',122,France
SERPA SANTANDER José,COL,LAMPRE - MERIDA,1,187,17' 05'',+ 02' 09'',129,Colombia
CURVERS Roy,NED,TEAM GIANT-ALPECIN,1,188,17' 08'',+ 02' 12'',132,Netherlands
BONO Matteo,ITA,LAMPRE - MERIDA,1,189,17' 09'',+ 02' 13'',133,Italy
GASTAUER Ben,LUX,AG2R LA MONDIALE,1,190,17' 10'',+ 02' 14'',134,Luxembourg
BOUHANNI Nacer,FRA,"COFIDIS, SOLUTIONS CREDITS",1,191,17' 10'',+ 02' 14'',134,France
GERARD Arnaud,FRA,BRETAGNE - SECHE ENVIRONNEMENT,1,192,17' 14'',+ 02' 18'',138,France
PERICHON Pierre-Luc,FRA,BRETAGNE - SECHE ENVIRONNEMENT,1,193,17' 19'',+ 02' 23'',143,France
QUEMENEUR Perrig,FRA,TEAM EUROPCAR,1,194,17' 20'',+ 02' 24'',144,France
CARUSO Gianpaolo,ITA,TEAM KATUSHA,1,195,17' 20'',+ 02' 24'',144,Italy
FONSECA Armindo,FRA,BRETAGNE - SECHE ENVIRONNEMENT,1,196,17' 21'',+ 02' 25'',145,France
FEILLU Brice,FRA,BRETAGNE - SECHE ENVIRONNEMENT,1,197,17' 24'',+ 02' 28'',148,France
CHEREL Mikael,FRA,AG2R LA MONDIALE,1,198,18' 32'',+ 03' 36'',216,France
CANCELLARA Fabian,SUI,TREK FACTORY RACING,2,1,03h 44' 01'',0,0,Switzerland
MARTIN Tony,GER,ETIXX-QUICK STEP,2,2,03h 44' 04'',+ 00' 03'',3,Germany
DUMOULIN Tom,NED,TEAM GIANT-ALPECIN,2,3,03h 44' 07'',+ 00' 06'',6,Netherlands
SAGAN Peter,SVK,TINKOFF-SAXO,2,4,03h 44' 34'',+ 00' 33'',33,Slovakia
THOMAS Geraint,GBR,TEAM SKY,2,5,03h 44' 36'',+ 00' 35'',35,Great Britain
OSS Daniel,ITA,BMC RACING TEAM,2,6,03h 44' 43'',+ 00' 42'',42,Italy
URAN URAN Rigoberto,COL,ETIXX-QUICK STEP,2,7,03h 44' 43'',+ 00' 42'',42,Colombia
VAN GARDEREN Tejay,USA,BMC RACING TEAM,2,8,03h 44' 45'',+ 00' 44'',44,United States of America
VAN AVERMAET Greg,BEL,BMC RACING TEAM,2,9,03h 44' 49'',+ 00' 48'',48,Belgium
FROOME Christopher,GBR,TEAM SKY,2,10,03h 44' 49'',+ 00' 48'',48,Great Britain
ROGERS Michael,AUS,TINKOFF-SAXO,2,11,03h 44' 54'',+ 00' 53'',53,Australia
STYBAR Zdenek,CZE,ETIXX-QUICK STEP,2,12,03h 44' 55'',+ 00' 54'',54,Czech Republic
GREIPEL André,GER,LOTTO-SOUDAL,2,13,03h 45' 00'',+ 00' 59'',59,Germany
CONTADOR Alberto,ESP,TINKOFF-SAXO,2,14,03h 45' 01'',+ 01' 00'',60,Spain
GALLOPIN Tony,FRA,LOTTO-SOUDAL,2,15,03h 45' 01'',+ 01' 00'',60,France
KREUZIGER Roman,CZE,TINKOFF-SAXO,2,16,03h 45' 09'',+ 01' 08'',68,Czech Republic
SIEBERG Marcel,GER,LOTTO-SOUDAL,2,17,03h 45' 13'',+ 01' 12'',72,Germany
QUINZIATO Manuel,ITA,BMC RACING TEAM,2,18,03h 45' 14'',+ 01' 13'',73,Italy
KWIATKOWSKI Michal,POL,ETIXX-QUICK STEP,2,19,03h 45' 20'',+ 01' 19'',79,Poland
STANNARD Ian,GBR,TEAM SKY,2,20,03h 45' 21'',+ 01' 20'',80,Great Britain
CAVENDISH Mark,GBR,ETIXX-QUICK STEP,2,21,03h 45' 25'',+ 01' 24'',84,Great Britain
BARGUIL WARREN,FRA,TEAM GIANT-ALPECIN,2,22,03h 45' 26'',+ 01' 25'',85,France
DENNIS Rohan,AUS,BMC RACING TEAM,2,23,03h 45' 27'',+ 01' 26'',86,Australia
RENSHAW Mark,AUS,ETIXX-QUICK STEP,2,24,03h 45' 49'',+ 01' 48'',108,Australia
BRÄNDLE Matthias,AUT,IAM CYCLING,2,25,03h 45' 50'',+ 01' 49'',109,Austria
MALORI Adriano,ITA,MOVISTAR TEAM,2,26,03h 45' 56'',+ 01' 55'',115,Italy
SCHÄR Michael,SUI,BMC RACING TEAM,2,27,03h 45' 58'',+ 01' 57'',117,Switzerland
GESINK Robert,NED,TEAM LOTTO NL - JUMBO,2,28,03h 46' 00'',+ 01' 59'',119,Netherlands
DOWSETT Alex,GBR,MOVISTAR TEAM,2,29,03h 46' 03'',+ 02' 02'',122,Great Britain
MOLLEMA Bauke,NED,TREK FACTORY RACING,2,30,03h 46' 04'',+ 02' 03'',123,Netherlands
PINOT Thibaut,FRA,FDJ,2,31,03h 46' 08'',+ 02' 07'',127,France
KONIG Leopold,CZE,TEAM SKY,2,32,03h 46' 10'',+ 02' 09'',129,Czech Republic
NIBALI Vincenzo,ITA,ASTANA PRO TEAM,2,33,03h 46' 10'',+ 02' 09'',129,Italy
DEGENKOLB John,GER,TEAM GIANT-ALPECIN,2,34,03h 46' 12'',+ 02' 11'',131,Germany
TAARAMÄE Rein,EST,ASTANA PRO TEAM,2,35,03h 46' 12'',+ 02' 11'',131,Estonia
ROY Jérémy,FRA,FDJ,2,36,03h 46' 14'',+ 02' 13'',133,France
VANMARCKE Sep,BEL,TEAM LOTTO NL - JUMBO,2,37,03h 46' 16'',+ 02' 15'',135,Belgium
IZAGIRRE INSAUSTI Gorka,ESP,MOVISTAR TEAM,2,38,03h 46' 20'',+ 02' 19'',139,Spain
VALVERDE BELMONTE Alejandro,ESP,MOVISTAR TEAM,2,39,03h 46' 23'',+ 02' 22'',142,Spain
GRIVKO Andriy,UKR,ASTANA PRO TEAM,2,40,03h 46' 24'',+ 02' 23'',143,Ukraine
PÉRAUD Jean-Christophe,FRA,AG2R LA MONDIALE,2,41,03h 46' 26'',+ 02' 25'',145,France
PREIDLER Georg,AUT,TEAM GIANT-ALPECIN,2,42,03h 46' 26'',+ 02' 25'',145,Austria
MORABITO Steve,SUI,FDJ,2,43,03h 46' 27'',+ 02' 26'',146,Switzerland
QUINTANA ROJAS Nairo Alexander,COL,MOVISTAR TEAM,2,44,03h 46' 28'',+ 02' 27'',147,Colombia
SANCHEZ Samuel,ESP,BMC RACING TEAM,2,45,03h 46' 31'',+ 02' 30'',150,Spain
PORTE Richie,AUS,TEAM SKY,2,46,03h 46' 33'',+ 02' 32'',152,Australia
KRISTOFF Alexander,NOR,TEAM KATUSHA,2,47,03h 46' 35'',+ 02' 34'',154,Norway
BAUER Jack,NZL,TEAM CANNONDALE-GARMIN,2,48,03h 46' 38'',+ 02' 37'',157,New Zealand
ERVITI OLLO Imanol,ESP,MOVISTAR TEAM,2,49,03h 46' 38'',+ 02' 37'',157,Spain
FRANK Mathias,SUI,IAM CYCLING,2,50,03h 46' 39'',+ 02' 38'',158,Switzerland
DEMARE Arnaud,FRA,FDJ,2,51,03h 46' 39'',+ 02' 38'',158,France
COSTA Rui Alberto,POR,LAMPRE - MERIDA,2,52,03h 46' 40'',+ 02' 39'',159,Portugal
DEMPSTER Zakkari,AUS,BORA-ARGON 18,2,53,03h 46' 41'',+ 02' 40'',160,Australia
KOREN Kristijan,SLO,TEAM CANNONDALE-GARMIN,2,54,03h 46' 42'',+ 02' 41'',161,Slovenia
TALANSKY Andrew,USA,TEAM CANNONDALE-GARMIN,2,55,03h 46' 42'',+ 02' 41'',161,United States of America
OLIVEIRA Nelson,POR,LAMPRE - MERIDA,2,56,03h 46' 43'',+ 02' 42'',162,Portugal
MARTIN Daniel,IRL,TEAM CANNONDALE-GARMIN,2,57,03h 46' 44'',+ 02' 43'',163,Ireland
BAK Lars,DEN,LOTTO-SOUDAL,2,58,03h 46' 46'',+ 02' 45'',165,Denmark
PAUWELS Serge,BEL,MTN-QHUBEKA,2,59,03h 46' 48'',+ 02' 47'',167,Belgium
