Name,Country,Team,Stage,Rank,Total Time,Gap,gap(s)
TUFT Svein,CAN,ORICA GREENEDGE,4,177,13h 13' 42'',+ 33' 16'',1996
HENDERSON Gregory,NZL,LOTTO-SOUDAL,4,178,13h 13' 47'',+ 33' 21'',2001
DE GENDT Thomas,BEL,LOTTO-SOUDAL,4,179,13h 13' 59'',+ 33' 33'',2013
NAULLEAU BRYAN,FRA,TEAM EUROPCAR,4,180,13h 14' 17'',+ 33' 51'',2031
PAOLINI Luca,ITA,TEAM KATUSHA,4,181,13h 14' 21'',+ 33' 55'',2035
BRUN Fréderic,FRA,BRETAGNE - SECHE ENVIRONNEMENT,4,182,13h 14' 34'',+ 34' 08'',2048
VAN SUMMEREN Johan,BEL,AG2R LA MONDIALE,4,183,13h 15' 00'',+ 34' 34'',2074
CIMOLAI Davide,ITA,LAMPRE - MERIDA,4,184,13h 15' 07'',+ 34' 41'',2081
HALLER Marco,AUT,TEAM KATUSHA,4,185,13h 15' 10'',+ 34' 44'',2084
TEN DAM Laurens,NED,TEAM LOTTO NL - JUMBO,4,186,13h 16' 41'',+ 36' 15'',2175
DIDIER Laurent,LUX,TREK FACTORY RACING,4,187,13h 16' 54'',+ 36' 28'',2188
DOWSETT Alex,GBR,MOVISTAR TEAM,4,188,13h 19' 08'',+ 38' 42'',2322
EDET Nicolas,FRA,"COFIDIS, SOLUTIONS CREDITS",4,189,13h 20' 08'',+ 39' 42'',2382
HANSEN Adam,AUS,LOTTO-SOUDAL,4,190,13h 20' 31'',+ 40' 05'',2405
MATTHEWS Michael,AUS,ORICA GREENEDGE,4,191,13h 24' 24'',+ 43' 58'',2638
MARTIN Tony,GER,ETIXX-QUICK STEP,5,1,17h 19' 26'',0,0
FROOME Christopher,GBR,TEAM SKY,5,2,17h 19' 38'',+ 00' 12'',12
VAN GARDEREN Tejay,USA,BMC RACING TEAM,5,3,17h 19' 51'',+ 00' 25'',25
SAGAN Peter,SVK,TINKOFF-SAXO,5,4,17h 19' 59'',+ 00' 33'',33
GALLOPIN Tony,FRA,LOTTO-SOUDAL,5,5,17h 20' 04'',+ 00' 38'',38
VAN AVERMAET Greg,BEL,BMC RACING TEAM,5,6,17h 20' 06'',+ 00' 40'',40
URAN URAN Rigoberto,COL,ETIXX-QUICK STEP,5,7,17h 20' 12'',+ 00' 46'',46
CONTADOR Alberto,ESP,TINKOFF-SAXO,5,8,17h 20' 14'',+ 00' 48'',48
THOMAS Geraint,GBR,TEAM SKY,5,9,17h 20' 41'',+ 01' 15'',75
STYBAR Zdenek,CZE,ETIXX-QUICK STEP,5,10,17h 20' 42'',+ 01' 16'',76
BARGUIL WARREN,FRA,TEAM GIANT-ALPECIN,5,11,17h 20' 45'',+ 01' 19'',79
MOLLEMA Bauke,NED,TREK FACTORY RACING,5,12,17h 21' 10'',+ 01' 44'',104
NIBALI Vincenzo,ITA,ASTANA PRO TEAM,5,13,17h 21' 16'',+ 01' 50'',110
GESINK Robert,NED,TEAM LOTTO NL - JUMBO,5,14,17h 21' 17'',+ 01' 51'',111
KREUZIGER Roman,CZE,TINKOFF-SAXO,5,15,17h 21' 29'',+ 02' 03'',123
VALVERDE BELMONTE Alejandro,ESP,MOVISTAR TEAM,5,16,17h 21' 29'',+ 02' 03'',123
QUINTANA ROJAS Nairo Alexander,COL,MOVISTAR TEAM,5,17,17h 21' 34'',+ 02' 08'',128
RODRIGUEZ OLIVER Joaquin,ESP,TEAM KATUSHA,5,18,17h 21' 38'',+ 02' 12'',132
PÉRAUD Jean-Christophe,FRA,AG2R LA MONDIALE,5,19,17h 21' 45'',+ 02' 19'',139
TALANSKY Andrew,USA,TEAM CANNONDALE-GARMIN,5,20,17h 22' 17'',+ 02' 51'',171
BARDET Romain,FRA,AG2R LA MONDIALE,5,21,17h 22' 32'',+ 03' 06'',186
BAKELANTS Jan,BEL,AG2R LA MONDIALE,5,22,17h 23' 02'',+ 03' 36'',216
FUGLSANG Jakob,DEN,ASTANA PRO TEAM,5,23,17h 23' 27'',+ 04' 01'',241
FRANK Mathias,SUI,IAM CYCLING,5,24,17h 23' 33'',+ 04' 07'',247
COSTA Rui Alberto,POR,LAMPRE - MERIDA,5,25,17h 23' 36'',+ 04' 10'',250
KOREN Kristijan,SLO,TEAM CANNONDALE-GARMIN,5,26,17h 24' 06'',+ 04' 40'',280
NERZ Dominik,GER,BORA-ARGON 18,5,27,17h 24' 12'',+ 04' 46'',286
VUILLERMOZ Alexis,FRA,AG2R LA MONDIALE,5,28,17h 25' 24'',+ 05' 58'',358
IZAGIRRE INSAUSTI Gorka,ESP,MOVISTAR TEAM,5,29,17h 25' 41'',+ 06' 15'',375
PINOT Thibaut,FRA,FDJ,5,30,17h 25' 56'',+ 06' 30'',390
SANCHEZ Samuel,ESP,BMC RACING TEAM,5,31,17h 25' 56'',+ 06' 30'',390
VOSS Paul,GER,BORA-ARGON 18,5,32,17h 26' 27'',+ 07' 01'',421
BOASSON HAGEN Edvald,NOR,MTN-QHUBEKA,5,33,17h 27' 05'',+ 07' 39'',459
MARTIN Daniel,IRL,TEAM CANNONDALE-GARMIN,5,34,17h 27' 18'',+ 07' 52'',472
CHAVANEL Sylvain,FRA,IAM CYCLING,5,35,17h 27' 30'',+ 08' 04'',484
LOSADA ALGUACIL Alberto,ESP,TEAM KATUSHA,5,36,17h 27' 34'',+ 08' 08'',488
ROGERS Michael,AUS,TINKOFF-SAXO,5,37,17h 28' 25'',+ 08' 59'',539
OSS Daniel,ITA,BMC RACING TEAM,5,38,17h 28' 56'',+ 09' 30'',570
MORABITO Steve,SUI,FDJ,5,39,17h 29' 04'',+ 09' 38'',578
BAK Lars,DEN,LOTTO-SOUDAL,5,40,17h 29' 19'',+ 09' 53'',593
ROLLAND Pierre,FRA,TEAM EUROPCAR,5,41,17h 29' 40'',+ 10' 14'',614
SEPULVEDA Eduardo,ARG,BRETAGNE - SECHE ENVIRONNEMENT,5,42,17h 29' 43'',+ 10' 17'',617
PANTANO GOMEZ Jarlinson,COL,IAM CYCLING,5,43,17h 29' 50'',+ 10' 24'',624
KWIATKOWSKI Michal,POL,ETIXX-QUICK STEP,5,44,17h 30' 19'',+ 10' 53'',653
DE KORT Koen,NED,TEAM GIANT-ALPECIN,5,45,17h 30' 25'',+ 10' 59'',659
GOLAS Michal,POL,ETIXX-QUICK STEP,5,46,17h 30' 34'',+ 11' 08'',668
TANKINK Bram,NED,TEAM LOTTO NL - JUMBO,5,47,17h 30' 35'',+ 11' 09'',669
SCHÄR Michael,SUI,BMC RACING TEAM,5,48,17h 31' 02'',+ 11' 36'',696
CAVENDISH Mark,GBR,ETIXX-QUICK STEP,5,49,17h 31' 25'',+ 11' 59'',719
GAUTIER Cyril,FRA,TEAM EUROPCAR,5,50,17h 31' 44'',+ 12' 18'',738
YATES Simon,GBR,ORICA GREENEDGE,5,51,17h 31' 44'',+ 12' 18'',738
YATES Adam,GBR,ORICA GREENEDGE,5,52,17h 32' 02'',+ 12' 36'',756
SIEBERG Marcel,GER,LOTTO-SOUDAL,5,53,17h 32' 08'',+ 12' 42'',762
DEGENKOLB John,GER,TEAM GIANT-ALPECIN,5,54,17h 32' 29'',+ 13' 03'',783
VERMOTE Julien,BEL,ETIXX-QUICK STEP,5,55,17h 32' 30'',+ 13' 04'',784
QUINZIATO Manuel,ITA,BMC RACING TEAM,5,56,17h 32' 42'',+ 13' 16'',796
CHEREL Mikael,FRA,AG2R LA MONDIALE,5,57,17h 32' 53'',+ 13' 27'',807
SICARD Romain,FRA,TEAM EUROPCAR,5,58,17h 32' 56'',+ 13' 30'',810
LAPORTE Christophe,FRA,"COFIDIS, SOLUTIONS CREDITS",5,59,17h 32' 56'',+ 13' 30'',810
ROCHE Nicolas,IRL,TEAM SKY,5,60,17h 33' 02'',+ 13' 36'',816
GRIVKO Andriy,UKR,ASTANA PRO TEAM,5,61,17h 33' 03'',+ 13' 37'',817
TAARAMÄE Rein,EST,ASTANA PRO TEAM,5,62,17h 33' 31'',+ 14' 05'',845
JANSE VAN RENSBURG Reinardt,RSA,MTN-QHUBEKA,5,63,17h 33' 46'',+ 14' 20'',860
GREIPEL André,GER,LOTTO-SOUDAL,5,64,17h 33' 59'',+ 14' 33'',873
GESCHKE Simon,GER,TEAM GIANT-ALPECIN,5,65,17h 34' 02'',+ 14' 36'',876
NAVARDAUSKAS Ramunas,LTU,TEAM CANNONDALE-GARMIN,5,66,17h 34' 24'',+ 14' 58'',898
WYSS Danilo,SUI,BMC RACING TEAM,5,67,17h 35' 12'',+ 15' 46'',946
RAST Gregory,SUI,TREK FACTORY RACING,5,68,17h 35' 38'',+ 16' 12'',972
MALORI Adriano,ITA,MOVISTAR TEAM,5,69,17h 35' 48'',+ 16' 22'',982
SOUPE GEOFFREY,FRA,"COFIDIS, SOLUTIONS CREDITS",5,70,17h 35' 50'',+ 16' 24'',984
STANNARD Ian,GBR,TEAM SKY,5,71,17h 35' 58'',+ 16' 32'',992
HAAS Nathan,AUS,TEAM CANNONDALE-GARMIN,5,72,17h 36' 02'',+ 16' 36'',996
DEMARE Arnaud,FRA,FDJ,5,73,17h 36' 14'',+ 16' 48'',1008
DEMPSTER Zakkari,AUS,BORA-ARGON 18,5,74,17h 36' 23'',+ 16' 57'',1017
COQUARD Bryan,FRA,TEAM EUROPCAR,5,75,17h 36' 43'',+ 17' 17'',1037
DENNIS Rohan,AUS,BMC RACING TEAM,5,76,17h 36' 47'',+ 17' 21'',1041
SENECHAL Florian,FRA,"COFIDIS, SOLUTIONS CREDITS",5,77,17h 36' 47'',+ 17' 21'',1041
SINKELDAM Ramon,NED,TEAM GIANT-ALPECIN,5,78,17h 36' 57'',+ 17' 31'',1051
CURVERS Roy,NED,TEAM GIANT-ALPECIN,5,79,17h 37' 02'',+ 17' 36'',1056
LADAGNOUS Matthieu,FRA,FDJ,5,80,17h 37' 19'',+ 17' 53'',1073
CASTROVIEJO NICOLAS Jonathan,ESP,MOVISTAR TEAM,5,81,17h 37' 29'',+ 18' 03'',1083
FARRAR Tyler,USA,MTN-QHUBEKA,5,82,17h 37' 30'',+ 18' 04'',1084
RENSHAW Mark,AUS,ETIXX-QUICK STEP,5,83,17h 37' 49'',+ 18' 23'',1103
VAN EMDEN Jos,NED,TEAM LOTTO NL - JUMBO,5,84,17h 38' 27'',+ 19' 01'',1141
BENNATI Daniele,ITA,TINKOFF-SAXO,5,85,17h 38' 49'',+ 19' 23'',1163
VANMARCKE Sep,BEL,TEAM LOTTO NL - JUMBO,5,86,17h 39' 05'',+ 19' 39'',1179
KRISTOFF Alexander,NOR,TEAM KATUSHA,5,87,17h 39' 28'',+ 20' 02'',1202
GAUDIN Damien,FRA,AG2R LA MONDIALE,5,88,17h 39' 32'',+ 20' 06'',1206
SCARPONI Michele,ITA,ASTANA PRO TEAM,5,89,17h 40' 02'',+ 20' 36'',1236
LEEZER Thomas,NED,TEAM LOTTO NL - JUMBO,5,90,17h 40' 04'',+ 20' 38'',1238
JANSE VAN RENSBURG Jacques,RSA,MTN-QHUBEKA,5,91,17h 40' 08'',+ 20' 42'',1242
VAUGRENARD Benoît,FRA,FDJ,5,92,17h 40' 17'',+ 20' 51'',1251
PREIDLER Georg,AUT,TEAM GIANT-ALPECIN,5,93,17h 40' 57'',+ 21' 31'',1291
ANDERSEN Michael Valgren,DEN,TINKOFF-SAXO,5,94,17h 40' 58'',+ 21' 32'',1292
FONSECA Armindo,FRA,BRETAGNE - SECHE ENVIRONNEMENT,5,95,17h 41' 51'',+ 22' 25'',1345
MACHADO Tiago,POR,TEAM KATUSHA,5,96,17h 42' 02'',+ 22' 36'',1356
WESTRA Lieuwe,NED,ASTANA PRO TEAM,5,97,17h 42' 04'',+ 22' 38'',1358
KANGERT Tanel,EST,ASTANA PRO TEAM,5,98,17h 42' 08'',+ 22' 42'',1362
SIMON Julien,FRA,"COFIDIS, SOLUTIONS CREDITS",5,99,17h 42' 12'',+ 22' 46'',1366
GENE Yohann,FRA,TEAM EUROPCAR,5,100,17h 42' 39'',+ 23' 13'',1393
TRENTIN Matteo,ITA,ETIXX-QUICK STEP,5,101,17h 42' 42'',+ 23' 16'',1396
ROY Jérémy,FRA,FDJ,5,102,17h 43' 06'',+ 23' 40'',1420
PAUWELS Serge,BEL,MTN-QHUBEKA,5,103,17h 43' 16'',+ 23' 50'',1430
HESJEDAL Ryder,CAN,TEAM CANNONDALE-GARMIN,5,104,17h 43' 28'',+ 24' 02'',1442
BARTA Jan,CZE,BORA-ARGON 18,5,105,17h 43' 30'',+ 24' 04'',1444
OLIVEIRA Nelson,POR,LAMPRE - MERIDA,5,106,17h 43' 58'',+ 24' 32'',1472
VACHON Florian,FRA,BRETAGNE - SECHE ENVIRONNEMENT,5,107,17h 44' 02'',+ 24' 36'',1476
KELDERMAN Wilco,NED,TEAM LOTTO NL - JUMBO,5,108,17h 44' 02'',+ 24' 36'',1476
KRUIJSWIJK Steven,NED,TEAM LOTTO NL - JUMBO,5,109,17h 44' 39'',+ 25' 13'',1513
TULIK ANGÉLO,FRA,TEAM EUROPCAR,5,110,17h 44' 49'',+ 25' 23'',1523
ROWE Luke,GBR,TEAM SKY,5,111,17h 45' 04'',+ 25' 38'',1538
HUZARSKI Bartosz,POL,BORA-ARGON 18,5,112,17h 45' 06'',+ 25' 40'',1540
WELLENS Tim,BEL,LOTTO-SOUDAL,5,113,17h 45' 10'',+ 25' 44'',1544
DELAPLACE Anthony,FRA,BRETAGNE - SECHE ENVIRONNEMENT,5,114,17h 45' 14'',+ 25' 48'',1548
GUARNIERI Jacopo,ITA,TEAM KATUSHA,5,115,17h 45' 45'',+ 26' 19'',1579
IRIZAR ARRANBURU Markel,ESP,TREK FACTORY RACING,5,116,17h 46' 01'',+ 26' 35'',1595
NAVARRO GARCIA Daniel,ESP,"COFIDIS, SOLUTIONS CREDITS",5,117,17h 46' 03'',+ 26' 37'',1597
ZUBELDIA AGIRRE Haimar,ESP,TREK FACTORY RACING,5,118,17h 46' 03'',+ 26' 37'',1597
MARTENS Paul,GER,TEAM LOTTO NL - JUMBO,5,119,17h 46' 07'',+ 26' 41'',1601
TEKLEHAIMANOT Daniel,ERI,MTN-QHUBEKA,5,120,17h 46' 20'',+ 26' 54'',1614
RIBLON Christophe,FRA,AG2R LA MONDIALE,5,121,17h 46' 28'',+ 27' 02'',1622
CARUSO Damiano,ITA,BMC RACING TEAM,5,122,17h 46' 53'',+ 27' 27'',1647
MATE MARDONES Luis Angel,ESP,"COFIDIS, SOLUTIONS CREDITS",5,123,17h 46' 55'',+ 27' 29'',1649
HOLLENSTEIN Reto,SUI,IAM CYCLING,5,124,17h 46' 58'',+ 27' 32'',1652
POZZATO Filippo,ITA,LAMPRE - MERIDA,5,125,17h 47' 14'',+ 27' 48'',1668
WYSS Marcel,SUI,IAM CYCLING,5,126,17h 47' 16'',+ 27' 50'',1670
BRÄNDLE Matthias,AUT,IAM CYCLING,5,127,17h 47' 19'',+ 27' 53'',1673
MAJKA Rafal,POL,TINKOFF-SAXO,5,128,17h 47' 21'',+ 27' 55'',1675
GASTAUER Ben,LUX,AG2R LA MONDIALE,5,129,17h 47' 45'',+ 28' 19'',1699
SERPA SANTANDER José,COL,LAMPRE - MERIDA,5,130,17h 48' 16'',+ 28' 50'',1730
FEDRIGO Pierrick,FRA,BRETAGNE - SECHE ENVIRONNEMENT,5,131,17h 48' 21'',+ 28' 55'',1735
CLEMENT Stef,NED,IAM CYCLING,5,132,17h 49' 02'',+ 29' 36'',1776
KONIG Leopold,CZE,TEAM SKY,5,133,17h 49' 40'',+ 30' 14'',1814
QUEMENEUR Perrig,FRA,TEAM EUROPCAR,5,134,17h 50' 17'',+ 30' 51'',1851
GERARD Arnaud,FRA,BRETAGNE - SECHE ENVIRONNEMENT,5,135,17h 50' 30'',+ 31' 04'',1864
CHAVANEL Sébastien,FRA,FDJ,5,136,17h 50' 58'',+ 31' 32'',1892
TIMMER Albert,NED,TEAM GIANT-ALPECIN,5,137,17h 52' 13'',+ 32' 47'',1967
DURASEK Kristijan,CRO,LAMPRE - MERIDA,5,138,17h 52' 14'',+ 32' 48'',1968
ERVITI OLLO Imanol,ESP,MOVISTAR TEAM,5,139,17h 52' 16'',+ 32' 50'',1970
VAN BAARLE Dylan,NED,TEAM CANNONDALE-GARMIN,5,140,17h 53' 18'',+ 33' 52'',2032
KENNAUGH Peter,GBR,TEAM SKY,5,141,17h 53' 19'',+ 33' 53'',2033
DURBRIDGE Luke,AUS,ORICA GREENEDGE,5,142,17h 53' 22'',+ 33' 56'',2036
VANBILSEN KENNETH,BEL,"COFIDIS, SOLUTIONS CREDITS",5,143,17h 53' 28'',+ 34' 02'',2042
ELMIGER Martin,SUI,IAM CYCLING,5,144,17h 53' 35'',+ 34' 09'',2049
GENIEZ Alexandre,FRA,FDJ,5,145,17h 54' 03'',+ 34' 37'',2077
POELS Wouter,NED,TEAM SKY,5,146,17h 54' 04'',+ 34' 38'',2078
CIMOLAI Davide,ITA,LAMPRE - MERIDA,5,147,17h 54' 07'',+ 34' 41'',2081
TOSATTO Matteo,ITA,TINKOFF-SAXO,5,148,17h 55' 03'',+ 35' 37'',2137
PERICHON Pierre-Luc,FRA,BRETAGNE - SECHE ENVIRONNEMENT,5,149,17h 55' 06'',+ 35' 40'',2140
BOOM Lars,NED,ASTANA PRO TEAM,5,150,17h 55' 45'',+ 36' 19'',2179
DIDIER Laurent,LUX,TREK FACTORY RACING,5,151,17h 56' 06'',+ 36' 40'',2200
LANGEVELD Sebastian,NED,TEAM CANNONDALE-GARMIN,5,152,17h 56' 15'',+ 36' 49'',2209
PORTE Richie,AUS,TEAM SKY,5,153,17h 56' 31'',+ 37' 05'',2225
FEILLU Brice,FRA,BRETAGNE - SECHE ENVIRONNEMENT,5,154,17h 56' 33'',+ 37' 07'',2227
DEBUSSCHERE Jens,BEL,LOTTO-SOUDAL,5,155,17h 56' 44'',+ 37' 18'',2238
GRUZDEV Dmitriy,KAZ,ASTANA PRO TEAM,5,156,17h 56' 52'',+ 37' 26'',2246
MEINTJES Louis,RSA,MTN-QHUBEKA,5,157,17h 57' 00'',+ 37' 34'',2254
JUNGELS Bob,LUX,TREK FACTORY RACING,5,158,17h 57' 06'',+ 37' 40'',2260
ARREDONDO MORENO Julian,COL,TREK FACTORY RACING,5,159,17h 57' 12'',+ 37' 46'',2266
KUDUS GHEBREMEDHIN Merhawi,ERI,MTN-QHUBEKA,5,160,17h 57' 39'',+ 38' 13'',2293
BUCHMANN Emanuel,GER,BORA-ARGON 18,5,161,17h 58' 14'',+ 38' 48'',2328
CARUSO Gianpaolo,ITA,TEAM KATUSHA,5,162,17h 58' 32'',+ 39' 06'',2346
BASSO Ivan,ITA,TINKOFF-SAXO,5,163,17h 58' 54'',+ 39' 28'',2368
CUMMINGS Stephen,GBR,MTN-QHUBEKA,5,164,17h 59' 33'',+ 40' 07'',2407
BONO Matteo,ITA,LAMPRE - MERIDA,5,165,17h 59' 53'',+ 40' 27'',2427
COPPEL Jérôme,FRA,IAM CYCLING,5,166,18h 00' 10'',+ 40' 44'',2444
HERRADA LOPEZ José,ESP,MOVISTAR TEAM,5,167,18h 00' 51'',+ 41' 25'',2485
DEVOLDER Stijn,BEL,TREK FACTORY RACING,5,168,18h 02' 02'',+ 42' 36'',2556
ALBASINI Michael,SUI,ORICA GREENEDGE,5,169,18h 02' 28'',+ 43' 02'',2582
WEENING Pieter,NED,ORICA GREENEDGE,5,170,18h 02' 33'',+ 43' 07'',2587
PLAZA MOLINA Ruben,ESP,LAMPRE - MERIDA,5,171,18h 02' 56'',+ 43' 30'',2610
VALLS FERRI Rafael,ESP,LAMPRE - MERIDA,5,172,18h 03' 08'',+ 43' 42'',2622
ANACONA GOMEZ Winner Andrew,COL,MOVISTAR TEAM,5,173,18h 03' 33'',+ 44' 07'',2647
BENNETT Sam,IRL,BORA-ARGON 18,5,174,18h 05' 00'',+ 45' 34'',2734
PAOLINI Luca,ITA,TEAM KATUSHA,5,175,18h 05' 44'',+ 46' 18'',2778
PIMANTA COSTA MENDES José Joao,POR,BORA-ARGON 18,5,176,18h 06' 03'',+ 46' 37'',2797
HALLER Marco,AUT,TEAM KATUSHA,5,177,18h 06' 33'',+ 47' 07'',2827
VOECKLER Thomas,FRA,TEAM EUROPCAR,5,178,18h 06' 43'',+ 47' 17'',2837
TUFT Svein,CAN,ORICA GREENEDGE,5,179,18h 06' 57'',+ 47' 31'',2851
HENDERSON Gregory,NZL,LOTTO-SOUDAL,5,180,18h 07' 02'',+ 47' 36'',2856
DE GENDT Thomas,BEL,LOTTO-SOUDAL,5,181,18h 07' 14'',+ 47' 48'',2868
NAULLEAU BRYAN,FRA,TEAM EUROPCAR,5,182,18h 07' 32'',+ 48' 06'',2886
BRUN Fréderic,FRA,BRETAGNE - SECHE ENVIRONNEMENT,5,183,18h 07' 49'',+ 48' 23'',2903
VAN SUMMEREN Johan,BEL,AG2R LA MONDIALE,5,184,18h 08' 15'',+ 48' 49'',2929
TEN DAM Laurens,NED,TEAM LOTTO NL - JUMBO,5,185,18h 09' 56'',+ 50' 30'',3030
DOWSETT Alex,GBR,MOVISTAR TEAM,5,186,18h 12' 23'',+ 52' 57'',3177
EDET Nicolas,FRA,"COFIDIS, SOLUTIONS CREDITS",5,187,18h 13' 23'',+ 53' 57'',3237
HANSEN Adam,AUS,LOTTO-SOUDAL,5,188,18h 13' 46'',+ 54' 20'',3260
MATTHEWS Michael,AUS,ORICA GREENEDGE,5,189,18h 17' 39'',+ 58' 13'',3493
MARTIN Tony,GER,ETIXX-QUICK STEP,6,1,22h 13' 14'',0,0
FROOME Christopher,GBR,TEAM SKY,6,2,22h 13' 26'',+ 00' 12'',12
VAN GARDEREN Tejay,USA,BMC RACING TEAM,6,3,22h 13' 39'',+ 00' 25'',25
SAGAN Peter,SVK,TINKOFF-SAXO,6,4,22h 13' 41'',+ 00' 27'',27
GALLOPIN Tony,FRA,LOTTO-SOUDAL,6,5,22h 13' 52'',+ 00' 38'',38
VAN AVERMAET Greg,BEL,BMC RACING TEAM,6,6,22h 13' 54'',+ 00' 40'',40
URAN URAN Rigoberto,COL,ETIXX-QUICK STEP,6,7,22h 14' 00'',+ 00' 46'',46
CONTADOR Alberto,ESP,TINKOFF-SAXO,6,8,22h 14' 02'',+ 00' 48'',48
STYBAR Zdenek,CZE,ETIXX-QUICK STEP,6,9,22h 14' 18'',+ 01' 04'',64
THOMAS Geraint,GBR,TEAM SKY,6,10,22h 14' 29'',+ 01' 15'',75
BARGUIL WARREN,FRA,TEAM GIANT-ALPECIN,6,11,22h 14' 33'',+ 01' 19'',79
MOLLEMA Bauke,NED,TREK FACTORY RACING,6,12,22h 14' 58'',+ 01' 44'',104
NIBALI Vincenzo,ITA,ASTANA PRO TEAM,6,13,22h 15' 04'',+ 01' 50'',110
GESINK Robert,NED,TEAM LOTTO NL - JUMBO,6,14,22h 15' 05'',+ 01' 51'',111
KREUZIGER Roman,CZE,TINKOFF-SAXO,6,15,22h 15' 17'',+ 02' 03'',123
VALVERDE BELMONTE Alejandro,ESP,MOVISTAR TEAM,6,16,22h 15' 17'',+ 02' 03'',123
QUINTANA ROJAS Nairo Alexander,COL,MOVISTAR TEAM,6,17,22h 15' 22'',+ 02' 08'',128
RODRIGUEZ OLIVER Joaquin,ESP,TEAM KATUSHA,6,18,22h 15' 26'',+ 02' 12'',132
PÉRAUD Jean-Christophe,FRA,AG2R LA MONDIALE,6,19,22h 15' 33'',+ 02' 19'',139
TALANSKY Andrew,USA,TEAM CANNONDALE-GARMIN,6,20,22h 16' 05'',+ 02' 51'',171
BARDET Romain,FRA,AG2R LA MONDIALE,6,21,22h 16' 20'',+ 03' 06'',186
BAKELANTS Jan,BEL,AG2R LA MONDIALE,6,22,22h 16' 50'',+ 03' 36'',216
FUGLSANG Jakob,DEN,ASTANA PRO TEAM,6,23,22h 17' 15'',+ 04' 01'',241
FRANK Mathias,SUI,IAM CYCLING,6,24,22h 17' 21'',+ 04' 07'',247
COSTA Rui Alberto,POR,LAMPRE - MERIDA,6,25,22h 17' 24'',+ 04' 10'',250
KOREN Kristijan,SLO,TEAM CANNONDALE-GARMIN,6,26,22h 17' 54'',+ 04' 40'',280
NERZ Dominik,GER,BORA-ARGON 18,6,27,22h 18' 00'',+ 04' 46'',286
VUILLERMOZ Alexis,FRA,AG2R LA MONDIALE,6,28,22h 19' 12'',+ 05' 58'',358
IZAGIRRE INSAUSTI Gorka,ESP,MOVISTAR TEAM,6,29,22h 19' 29'',+ 06' 15'',375
PINOT Thibaut,FRA,FDJ,6,30,22h 19' 44'',+ 06' 30'',390
SANCHEZ Samuel,ESP,BMC RACING TEAM,6,31,22h 19' 44'',+ 06' 30'',390
BOASSON HAGEN Edvald,NOR,MTN-QHUBEKA,6,32,22h 20' 53'',+ 07' 39'',459
MARTIN Daniel,IRL,TEAM CANNONDALE-GARMIN,6,33,22h 21' 06'',+ 07' 52'',472
CHAVANEL Sylvain,FRA,IAM CYCLING,6,34,22h 21' 18'',+ 08' 04'',484
LOSADA ALGUACIL Alberto,ESP,TEAM KATUSHA,6,35,22h 21' 22'',+ 08' 08'',488
ROGERS Michael,AUS,TINKOFF-SAXO,6,36,22h 22' 13'',+ 08' 59'',539
BAK Lars,DEN,LOTTO-SOUDAL,6,37,22h 23' 07'',+ 09' 53'',593
VOSS Paul,GER,BORA-ARGON 18,6,38,22h 23' 19'',+ 10' 05'',605
ROLLAND Pierre,FRA,TEAM EUROPCAR,6,39,22h 23' 28'',+ 10' 14'',614
SEPULVEDA Eduardo,ARG,BRETAGNE - SECHE ENVIRONNEMENT,6,40,22h 23' 31'',+ 10' 17'',617
PANTANO GOMEZ Jarlinson,COL,IAM CYCLING,6,41,22h 23' 38'',+ 10' 24'',624
KWIATKOWSKI Michal,POL,ETIXX-QUICK STEP,6,42,22h 24' 07'',+ 10' 53'',653
DE KORT Koen,NED,TEAM GIANT-ALPECIN,6,43,22h 24' 13'',+ 10' 59'',659
GOLAS Michal,POL,ETIXX-QUICK STEP,6,44,22h 24' 22'',+ 11' 08'',668
TANKINK Bram,NED,TEAM LOTTO NL - JUMBO,6,45,22h 24' 23'',+ 11' 09'',669
SCHÄR Michael,SUI,BMC RACING TEAM,6,46,22h 24' 50'',+ 11' 36'',696
CAVENDISH Mark,GBR,ETIXX-QUICK STEP,6,47,22h 25' 13'',+ 11' 59'',719
YATES Simon,GBR,ORICA GREENEDGE,6,48,22h 25' 32'',+ 12' 18'',738
YATES Adam,GBR,ORICA GREENEDGE,6,49,22h 25' 50'',+ 12' 36'',756
MORABITO Steve,SUI,FDJ,6,50,22h 25' 56'',+ 12' 42'',762
SIEBERG Marcel,GER,LOTTO-SOUDAL,6,51,22h 25' 56'',+ 12' 42'',762
OSS Daniel,ITA,BMC RACING TEAM,6,52,22h 26' 02'',+ 12' 48'',768
DEGENKOLB John,GER,TEAM GIANT-ALPECIN,6,53,22h 26' 17'',+ 13' 03'',783
VERMOTE Julien,BEL,ETIXX-QUICK STEP,6,54,22h 26' 18'',+ 13' 04'',784
CHEREL Mikael,FRA,AG2R LA MONDIALE,6,55,22h 26' 41'',+ 13' 27'',807
SICARD Romain,FRA,TEAM EUROPCAR,6,56,22h 26' 44'',+ 13' 30'',810
LAPORTE Christophe,FRA,"COFIDIS, SOLUTIONS CREDITS",6,57,22h 26' 44'',+ 13' 30'',810
GRIVKO Andriy,UKR,ASTANA PRO TEAM,6,58,22h 26' 51'',+ 13' 37'',817
TAARAMÄE Rein,EST,ASTANA PRO TEAM,6,59,22h 27' 19'',+ 14' 05'',845
JANSE VAN RENSBURG Reinardt,RSA,MTN-QHUBEKA,6,60,22h 27' 34'',+ 14' 20'',860
