Name,Country,Team,Stage,Rank,Total Time,Gap,gap(s)
THOMAS Geraint,GBR,TEAM SKY,4,9,12h 41' 41'',+ 01' 15'',75
STYBAR Zdenek,CZE,ETIXX-QUICK STEP,4,10,12h 41' 42'',+ 01' 16'',76
BARGUIL WARREN,FRA,TEAM GIANT-ALPECIN,4,11,12h 41' 45'',+ 01' 19'',79
MOLLEMA Bauke,NED,TREK FACTORY RACING,4,12,12h 42' 10'',+ 01' 44'',104
NIBALI Vincenzo,ITA,ASTANA PRO TEAM,4,13,12h 42' 16'',+ 01' 50'',110
GESINK Robert,NED,TEAM LOTTO NL - JUMBO,4,14,12h 42' 17'',+ 01' 51'',111
KREUZIGER Roman,CZE,TINKOFF-SAXO,4,15,12h 42' 29'',+ 02' 03'',123
VALVERDE BELMONTE Alejandro,ESP,MOVISTAR TEAM,4,16,12h 42' 29'',+ 02' 03'',123
QUINTANA ROJAS Nairo Alexander,COL,MOVISTAR TEAM,4,17,12h 42' 34'',+ 02' 08'',128
RODRIGUEZ OLIVER Joaquin,ESP,TEAM KATUSHA,4,18,12h 42' 38'',+ 02' 12'',132
PÉRAUD Jean-Christophe,FRA,AG2R LA MONDIALE,4,19,12h 42' 45'',+ 02' 19'',139
TALANSKY Andrew,USA,TEAM CANNONDALE-GARMIN,4,20,12h 43' 17'',+ 02' 51'',171
BARDET Romain,FRA,AG2R LA MONDIALE,4,21,12h 43' 32'',+ 03' 06'',186
BAKELANTS Jan,BEL,AG2R LA MONDIALE,4,22,12h 44' 02'',+ 03' 36'',216
FUGLSANG Jakob,DEN,ASTANA PRO TEAM,4,23,12h 44' 27'',+ 04' 01'',241
FRANK Mathias,SUI,IAM CYCLING,4,24,12h 44' 33'',+ 04' 07'',247
COSTA Rui Alberto,POR,LAMPRE - MERIDA,4,25,12h 44' 36'',+ 04' 10'',250
KOREN Kristijan,SLO,TEAM CANNONDALE-GARMIN,4,26,12h 45' 06'',+ 04' 40'',280
NERZ Dominik,GER,BORA-ARGON 18,4,27,12h 45' 12'',+ 04' 46'',286
VUILLERMOZ Alexis,FRA,AG2R LA MONDIALE,4,28,12h 46' 24'',+ 05' 58'',358
IZAGIRRE INSAUSTI Gorka,ESP,MOVISTAR TEAM,4,29,12h 46' 29'',+ 06' 03'',363
