Stage,Type
1,Individual time trial
2,Flat stage
3,Flat stage
4,Medium-mountain stage
5,Flat stage
6,Medium-mountain stage
7,Flat stage
8,Medium-mountain stage
9,Individual time trial
10,Medium-mountain stage
11,Medium-mountain stage
12,Flat stage
13,Medium-mountain stage
14,Mountain stage
15,Individual time trial
16,Medium-mountain stage
17,Flat stage
18,Medium-mountain stage
19,Mountain stage
20,Mountain stage
21,Flat stage
